title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,meeting_time,meeting_place,source_url
FRA Branch 158 - Pikes Peak,fra-branch-158-co,local,Branch 158,fra,FRA,world-war-1,World War I,CO,colorado,El Paso County,el-paso-county,co_08041,32 Monk St,Colorado Springs,80911,38.74231959999999,-104.7267219,true,,,,,,,,,158,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=158
FRA Branch 244 - Colorado West,fra-branch-244-co,local,Branch 244,fra,FRA,world-war-1,World War I,CO,colorado,Mesa County,mesa-county,co_08077,3010 Vin Rose Way,Grand Junction,81504,39.0952437,-108.4949318,true,,,https://www.frabr244.homestead.com,,,,,,244,"1300, 2nd Wed.","VFW Post 3981, 503 1/2 Florence Rd., Grand Junction, CO",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=244
FRA Branch 318 - * Computer Generated *,fra-branch-318-co,local,Branch 318,fra,FRA,world-war-1,World War I,CO,colorado,Gunnison County,gunnison-county,co_08051,,,,38.7945952,-106.5348379,true,,,,,,,,,318,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=318
FRA Branch 20 - Groton,fra-branch-20-ct,local,Branch 20,fra,FRA,world-war-1,World War I,CT,connecticut,New London County,new-london-county,ct_09011,242 Thames St.,Groton,06360,41.3560687,-72.0838034,true,,,,,,,,,20,"1800, 3rd Thur.","Branch Home, 242 Thames St., Groton, CT",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=020
FRA Branch 237 - Niantic,fra-branch-237-ct,local,Branch 237,fra,FRA,world-war-1,World War I,CT,connecticut,New London County,new-london-county,ct_09011,6 Bradford Cir,Groton,06340,41.35471099999999,-72.0577441,true,,,,,,,,,237,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=237
FRA Branch 309 - Diamond State,fra-branch-309-de,local,Branch 309,fra,FRA,world-war-1,World War I,DE,delaware,New Castle County,new-castle-county,de_10003,PO Box 7005,Wilmington,19803,39.7961255,-75.5393155,true,,,,,,,,,309,"1400, 2nd Thur.","VFW Post #3420, 649 Churchmans Rd., Newark, DE",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=309
FRA Branch 22 - Mark A. Kilgore Branch 22,fra-branch-22-fl,local,Branch 22,fra,FRA,world-war-1,World War I,FL,florida,Escambia County,escambia-county,fl_12033,PO Box 3144,Pensacola,32516,30.43,-87.29,true,,,http://www.pensacolafrabranch22.yolasite.com/,,,,,,22,"1430, 3rd Sat.","Branch Home, 885 N. 70th Ave., Pensacola, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=022
FRA Branch 25 - St Augustine,fra-branch-25-fl,local,Branch 25,fra,FRA,world-war-1,World War I,FL,florida,St. Johns County,st-johns-county,fl_12109,112 Jupiter Rd,Saint Augustine,32086,29.8351819,-81.3080521,true,,,,,,,,,25,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=025
FRA Branch 34 - Tallahassee,fra-branch-34-fl,local,Branch 34,fra,FRA,world-war-1,World War I,FL,florida,Leon County,leon-county,fl_12073,5013 Centennial Oak Cir.,Tallahassee,32308,30.4855313,-84.193026,true,,,,,,,,,34,"1000, 3rd Sat.","030 Esplanade Way Suite 308 Tallahassee, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=034
FRA Branch 51 - Flamingo,fra-branch-51-fl,local,Branch 51,fra,FRA,world-war-1,World War I,FL,florida,Miami-Dade County,miami-dade-county,fl_12086,657 Fisherman St,Opa Locka,33054,25.9019731,-80.2523409,true,,,,,,,,,51,"1200, 3rd Sat.","Fleet Reserve Hall, 657 Fisherman St., Opa Locka, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=051
"FRA Branch 56 - Fl, Key West",fra-branch-56-fl,local,Branch 56,fra,FRA,world-war-1,World War I,FL,florida,Monroe County,monroe-county,fl_12087,,,,24.5550593,-81.7799871,true,,,,,,,,,56,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=056
FRA Branch 91 - First Coast,fra-branch-91-fl,local,Branch 91,fra,FRA,world-war-1,World War I,FL,florida,Duval County,duval-county,fl_12031,5391 Collins Rd,Jacksonville,32244,30.2001198,-81.719072,true,,,http://www.fra91.org/,,,,,,91,"1100, 1st Sat.",Fleet Reserve Branch 91,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=091
FRA Branch 102 - Sunshine,fra-branch-102-fl,local,Branch 102,fra,FRA,world-war-1,World War I,FL,florida,Pinellas County,pinellas-county,fl_12103,9945 47th Ave. N. Apt 110 St.,Saint Petersburg,33708,27.815108,-82.7772714,true,,,,,,,,,102,"1330, 3rd Sun.","Trinity Lutheran Church, 401 - 5th Street N., St. Petersburg, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=102
FRA Branch 109 - Fun N Sun,fra-branch-109-fl,local,Branch 109,fra,FRA,world-war-1,World War I,FL,florida,Pinellas County,pinellas-county,fl_12103,8671 Rose Way,Seminole,33772,27.8513744,-82.7970135,true,,,,,,,,,109,"1800, 2nd Thurs.","Police & Military Museum, 500 Douglas Ave., Dunedin, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=109
FRA Branch 117 - The Delbert D. Black,fra-branch-117-fl,local,Branch 117,fra,FRA,world-war-1,World War I,FL,florida,Osceola County,osceola-county,fl_12097,335 Plumwood Cir,Kissimmee,34743,28.3425954,-81.3760942,true,,,,,,,,,117,"0930, 3rd Sat.","335 Plumwood Circle, Kissimmee, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=117
FRA Branch 118 - Southwest Florida Branch 118,fra-branch-118-fl,local,Branch 118,fra,FRA,world-war-1,World War I,FL,florida,Lee County,lee-county,fl_12071,2209 Cape Coral Pkwy,W Cape Coral,33914,26.5630845,-82.0200865,true,,,,,,,,,118,"1200, 2nd Thur.","AmLeg Post #90 1041 SE 47th St., Cape Coral, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=118
FRA Branch 126 - West Jacksonville,fra-branch-126-fl,local,Branch 126,fra,FRA,world-war-1,World War I,FL,florida,Duval County,duval-county,fl_12031,FRA Branch 126 PO Box 440395,Jacksonville,32222,30.200057,-81.7190791,true,,,http://www.westjaxfrabranch126.org/,,,,,,126,"1900, 3rd Thur.","Branch Home, 7673 Blanding Blvd., Jacksonville, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=126
FRA Branch 147 - B Duke Woody,fra-branch-147-fl,local,Branch 147,fra,FRA,world-war-1,World War I,FL,florida,Seminole County,seminole-county,fl_12117,"Branch Home 3040 W State Road 46 Sanford, FL",,,28.8112795,-81.3348678,true,,,,,,,,,147,"1830, 2nd Tues.","Branch Home, 3040 W. State Road 46, Sanford, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=147
"FRA Branch 148 - Fl, Lake Park",fra-branch-148-fl,local,Branch 148,fra,FRA,world-war-1,World War I,FL,florida,Lee County,lee-county,fl_12071,3903 SW 1st Pl,Cape Coral,33914,26.5793653,-81.9767694,true,,,,,,,,,148,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=148
FRA Branch 173 - Heartlands,fra-branch-173-fl,local,Branch 173,fra,FRA,world-war-1,World War I,FL,florida,Highlands County,highlands-county,fl_12055,3116 Devon Ct,Sebring,33870,27.5182107,-81.4352061,true,,,,,,,,,173,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=173
FRA Branch 179 - Gainesville,fra-branch-179-fl,local,Branch 179,fra,FRA,world-war-1,World War I,FL,florida,Bradford County,bradford-county,fl_12007,PO Box 153,Hampton,32044,29.8644091,-82.1309371,true,,,,,,,,,179,"1330, 1st Sun.","AmLeg Post #56, 1715 Edwards Rd, Starke, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=179
FRA Branch 183 - Bass Capital,fra-branch-183-fl,local,Branch 183,fra,FRA,world-war-1,World War I,FL,florida,Putnam County,putnam-county,fl_12107,PO Box 149,Interlachen,32148,29.6238574,-81.8903684,true,,,https://www.facebook.com/FRA.183.Interlachen,,,,,,183,"1630, 3rd Wed.","Branch Home, 207 Commonwealth, Interlachen, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=183
FRA Branch 186 - Citrus Florida,fra-branch-186-fl,local,Branch 186,fra,FRA,world-war-1,World War I,FL,florida,Citrus County,citrus-county,fl_12017,11128 W Townsend Ln,Homosassa,34448,28.7681779,-82.6175123,true,,,,,,,,,186,"1500, 3rd Thur.","1081N. Paul Dr., Inverness, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=186
FRA Branch 188 - Gasparilla,fra-branch-188-fl,local,Branch 188,fra,FRA,world-war-1,World War I,FL,florida,Hillsborough County,hillsborough-county,fl_12057,11813 Myrtle Rock Dr.,Riverview,33578,27.826724,-82.3378208,true,,,,,,,,,188,"1830, 3rd Thur.","Golden Corral Rest., 815 Providence Rd., Brandon, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=188
FRA Branch 210 - Bob He Coon Sikes,fra-branch-210-fl,local,Branch 210,fra,FRA,world-war-1,World War I,FL,florida,Santa Rosa County,santa-rosa-county,fl_12113,6409,Fleet Avenue Milton,32570,30.68844139999999,-87.0528498,true,,,,,,,,,210,"1830, 1st Wed.","Branch Home, 6409 Fleet Avenue, Milton, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=210
FRA Branch 220 - Suwanne Valley,fra-branch-220-fl,local,Branch 220,fra,FRA,world-war-1,World War I,FL,florida,Columbia County,columbia-county,fl_12023,410 NE Granger Mill Ave,Lake City,32055,30.1942292,-82.6124099,true,,,,,,,,,220,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=220
FRA Branch 248 - Kings Bay,fra-branch-248-fl,local,Branch 248,fra,FRA,world-war-1,World War I,FL,florida,Nassau County,nassau-county,fl_12089,76205 Dove Rd,Yulee,32097,30.618404,-81.624252,true,,,,,,,,,248,"1800, 2nd Tues.","VFW Post #8385, 150 N. Camden Woods Pkwy., Kingsland, GA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=248
FRA Branch 250 - Sarasota,fra-branch-250-fl,local,Branch 250,fra,FRA,world-war-1,World War I,FL,florida,Manatee County,manatee-county,fl_12081,11621 4th Ave.,Bradenton,34212,27.495934,-82.4256981,true,,,,,,,,,250,"1200, Last Fri., except June-August","Heroes Grill, 600 N. Beneva Rd., Sarasota, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=250
FRA Branch 256 - Ft Lauderdale,fra-branch-256-fl,local,Branch 256,fra,FRA,world-war-1,World War I,FL,florida,Polk County,polk-county,fl_12105,FL,,,27.6648274,-81.5157535,true,,,,,,,,,256,"1900, 4th Fri.","AmLeg Post 142, 171 SW 2nd St, Pompano Beach, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=256
FRA Branch 263 - Cape Canaveral,fra-branch-263-fl,local,Branch 263,fra,FRA,world-war-1,World War I,FL,florida,Brevard County,brevard-county,fl_12009,1310 Shady Ln,Merritt Island,32952,28.2965949,-80.6749925,true,,,,,,,,,263,"1800, 2nd Wed.","Brevard Vets Memorial Ctr., 400 S. Sykes Creek Pkwy., Merritt Island, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=263
FRA Branch 290 - Mayport,fra-branch-290-fl,local,Branch 290,fra,FRA,world-war-1,World War I,FL,florida,Duval County,duval-county,fl_12031,390 Mayport Rd,Atlantic Beach,32233,30.3271779,-81.4189269,true,,,http://www.frabranch290.org/,,,,,,290,"1900, 2nd Thur.","Branch Home, 390 Mayport Rd., Atlantic Beach, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=290
FRA Branch 291 - Suncoast,fra-branch-291-fl,local,Branch 291,fra,FRA,world-war-1,World War I,FL,florida,Pasco County,pasco-county,fl_12101,3345 Van Nuys Loop,New Port Richey,34655,28.2080597,-82.6961396,true,,,,,,,,,291,"1330, 3rd Wed Except July and August",Contact Edward White (727) 376-4126,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=291
FRA Branch 292 - Walter Hatch,fra-branch-292-fl,local,Branch 292,fra,FRA,world-war-1,World War I,FL,florida,Lee County,lee-county,fl_12071,1544 Lindal,Circle Lehigh Acres,33936,26.6126374,-81.6591865,true,,,,,,,,,292,"0930, 1st Wed.","Perkins Restaurant, 2700 Lee Blvd., Lehigh Acres, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=292
FRA Branch 335 - Volusia County,fra-branch-335-fl,local,Branch 335,fra,FRA,world-war-1,World War I,FL,florida,Volusia County,volusia-county,fl_12127,105 Underbrush,Trl Port Orange,32128,29.0930795,-81.0301623,true,,,,,,,,,335,"1300, 4th Thurs.","Hannah's Family Diner, 968 Reed Canal Rd., South Daytona, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=335
FRA Branch 346 - St Andrews Bay,fra-branch-346-fl,local,Branch 346,fra,FRA,world-war-1,World War I,FL,florida,Bay County,bay-county,fl_12005,2117 Wilkinson St,Panama City Beach,32408,30.1838704,-85.7729178,true,,,https://www.facebook.com/FRA346turkeyshoot/,,,,,,346,"1800, 1st Thur.","FRA Br. 346, 2117 Wilkinson Ave., Panama City Beach, FL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=346
"FRA Branch 350 - Fl, Homestead",fra-branch-350-fl,local,Branch 350,fra,FRA,world-war-1,World War I,FL,florida,Miami-Dade County,miami-dade-county,fl_12086,,,,25.4724038,-80.4757976,true,,,,,,,,,350,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=350
FRA Branch 366 - South Brevard,fra-branch-366-fl,local,Branch 366,fra,FRA,world-war-1,World War I,FL,florida,Brevard County,brevard-county,fl_12009,2190 Wilson Ln,Malabar,32950,27.9893698,-80.610493,true,,,,,,,,,366,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=366
FRA Branch 30 - Brunswick,fra-branch-30-ga,local,Branch 30,fra,FRA,world-war-1,World War I,GA,georgia,Glynn County,glynn-county,ga_13127,157 Dees Dr,Brunswick,31520,31.2057228,-81.5153462,true,,,,,,,,,30,,Contact Secretary,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=030
"FRA Branch 79 - Ga, Columbus",fra-branch-79-ga,local,Branch 79,fra,FRA,world-war-1,World War I,GA,georgia,Muscogee County,muscogee-county,ga_13215,,,,32.4667107,-84.9918962,true,,,,,,,,,79,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=079
FRA Branch 89 - Atlanta,fra-branch-89-ga,local,Branch 89,fra,FRA,world-war-1,World War I,GA,georgia,Douglas County,douglas-county,ga_13097,PO Box 1011,Douglasville,30133,33.7493709,-84.7460678,true,,,,,,,,,89,"1000, 2nd Sat.","AmLeg Post #160, 160 Legion Dr., S.E., Smyrna, GA 30080",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=089
FRA Branch 184 - Middle Georgia,fra-branch-184-ga,local,Branch 184,fra,FRA,world-war-1,World War I,GA,georgia,Houston County,houston-county,ga_13153,105 Parade Ct,Bonaire,31005,32.5574675,-83.6469169,true,,,,,,,,,184,"1330, 2nd Sat.","Marco Pizza, 315 Ga. 49 Byron, Ga",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=184
FRA Branch 213 - Tara,fra-branch-213-ga,local,Branch 213,fra,FRA,world-war-1,World War I,GA,georgia,Henry County,henry-county,ga_13151,1306 Oakwood Rd,Jonesboro,30236,33.4923373,-84.2764965,true,,,,,,,,,213,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=213
FRA Branch 215 - J J Burke,fra-branch-215-ga,local,Branch 215,fra,FRA,world-war-1,World War I,GA,georgia,Chatham County,chatham-county,ga_13051,2127 McLeod St,Savannah,31405,32.0368976,-81.1490233,true,,,,,,,,,215,"1400, 2nd Weds.","320 E Highway 80, Pooler, GA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=215
"FRA Branch 236 - Ga, Waycross",fra-branch-236-ga,local,Branch 236,fra,FRA,world-war-1,World War I,GA,georgia,Ware County,ware-county,ga_13299,,,,31.2135511,-82.3540178,true,,,,,,,,,236,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=236
FRA Branch 339 - Albany Ga,fra-branch-339-ga,local,Branch 339,fra,FRA,world-war-1,World War I,GA,georgia,Dougherty County,dougherty-county,ga_13095,PO Box 50513,Albany,31703,31.58,-84.16,true,,,,,,,,,339,"1400, 2nd Sat.","VFW Post #2785, 315 Philema Rd., Albany, GA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=339
"FRA Branch 359 - Ga, Augusta",fra-branch-359-ga,local,Branch 359,fra,FRA,world-war-1,World War I,GA,georgia,Richmond County,richmond-county,ga_13245,208 Tremont Way,Augusta,30907,33.509735,-82.0506051,true,,,,,,,,,359,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=359
FRA Branch 46 - Pearl Harbor- Honolulu,fra-branch-46-hi,local,Branch 46,fra,FRA,world-war-1,World War I,HI,hawaii,Honolulu County,honolulu-county,hi_15003,2121 Aluka Loop,Pearl City,96782,21.4226428,-157.9618765,true,,,http://www.frabranch46.org/,,,,,,46,1700 - 1900 2nd Tues.,"Oahu Veterans Center, 1298 Kukila St.",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=046
"FRA Branch 50 - Honolulu, Hawaii",fra-branch-50-hi,local,Branch 50,fra,FRA,world-war-1,World War I,HI,hawaii,Honolulu County,honolulu-county,hi_15003,Fleet Reserve Assoc Branch 50 Oahu Veterans Center,Honolulu,96818,21.3613916,-157.9253441,true,,,,,,,,,50,1700 - 1900 2nd Tues.,"Oahu Veterans Center, 1298 Kukila St.",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=050
FRA Branch 216 - Hawkeye,fra-branch-216-ia,local,Branch 216,fra,FRA,world-war-1,World War I,IA,iowa,Linn County,linn-county,ia_19113,6 Chapelridge Cir Apt,H Marion,52302,42.02232799999999,-91.5718755,true,,,,,,,,,216,"1800, 4th Thur.","Vets Memorial Col., 50 - 2nd Ave., Cedar Rapids, IA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=216
FRA Branch 242 - Quad Cities,fra-branch-242-ia,local,Branch 242,fra,FRA,world-war-1,World War I,IA,iowa,Scott County,scott-county,ia_19163,2332 W Dover CT,Davenport,52804,41.5431082,-90.6118534,true,,,,,,,,,242,"1000, 1st Sat.","Hickory Grove Family Rest., 3311 Hickory Grove Rd., Davenport, IA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=242
"FRA Branch 271 - Ia, Des Moines",fra-branch-271-ia,local,Branch 271,fra,FRA,world-war-1,World War I,IA,iowa,Polk County,polk-county,ia_19153,,,,41.5896139,-93.6163963,true,,,,,,,,,271,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=271
FRA Branch 300 - Ottumwa,fra-branch-300-ia,local,Branch 300,fra,FRA,world-war-1,World War I,IA,iowa,Appanoose County,appanoose-county,ia_19007,300 Main St,Udell,52593,40.7816563,-92.7421572,true,,,,,,,,,300,"1330, 2nd Wed.","Ottumwa AmLeg Home, 550 W. Main St, Ottumwa, IA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=300
FRA Branch 133 - Uss Idaho,fra-branch-133-id,local,Branch 133,fra,FRA,world-war-1,World War I,ID,idaho,Bannock County,bannock-county,id_16005,1232 Palmer Ln,Pocatello,83201,42.8970153,-112.4462676,true,,,,,,,,,133,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=133
FRA Branch 382 - Gem State,fra-branch-382-id,local,Branch 382,fra,FRA,world-war-1,World War I,ID,idaho,Ada County,ada-county,id_16001,2472 N Tangent Ave,Meridian,83646,43.6274368,-116.4368769,true,,,http://fra382.org,,,,,,382,"1000, 2nd Sat.","Branch Home, 1012 - 11th Ave., N., Nampa, ID",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=382
FRA Branch 53 - Great Lakes,fra-branch-53-il,local,Branch 53,fra,FRA,world-war-1,World War I,IL,illinois,Lake County,lake-county,il_17097,"26112 W Parkview, Dr.",Antioch,60002,42.4733957,-88.1420804,true,,,,,,,,,53,"1130, 1st Wed.","Emily's Pancake House, 1910 E. Grand Ave., Lindenhurst, IL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=053
FRA Branch 221 - Peoria,fra-branch-221-il,local,Branch 221,fra,FRA,world-war-1,World War I,IL,illinois,Tazewell County,tazewell-county,il_17179,606 Golden Ct,Mackinaw,61755,40.5350425,-89.3492751,true,,,,,,,,,221,"1800, 2nd Wed.","Navy/Marine Corps Club, 1310 E. Seiberling Ave., Peoria Hts, IL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=221
FRA Branch 12 - Chicago,fra-branch-12-in,local,Branch 12,fra,FRA,world-war-1,World War I,IN,indiana,Porter County,porter-county,in_18127,1251 Gilleevan Dr.,Valparaiso,46385,41.4386249,-87.0759801,true,,,,,,,,,12,"1300, 3rd Wed.","Applebee's 9380 Joliet Road, Hodgkins, ILL - No mtg. in August",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=012
FRA Branch 130 - Uss Indianapolis Memorial,fra-branch-130-in,local,Branch 130,fra,FRA,world-war-1,World War I,IN,indiana,Marion County,marion-county,in_18097,113 N Wallace Ave,Indianapolis,46201,39.7716043,-86.0885179,true,,,,,,,,,130,"1800, 1st Mon. Contact: James Hayes 317-258-0000","VFW Post #5864, 1842 Veterans Way, Greenwood, IN",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=130
FRA Branch 348 - Ft Wayne,fra-branch-348-in,local,Branch 348,fra,FRA,world-war-1,World War I,IN,indiana,Allen County,allen-county,in_18003,1517 Sycamore Dr,Fort Wayne,46825,41.1414363,-85.1207195,true,,,,,,,,,348,"1830, 3rd Wed.","VFW Post 857, 2202 W. Main Street, Ft. Wayne, IN",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=348
FRA Branch 365 - River City,fra-branch-365-in,local,Branch 365,fra,FRA,world-war-1,World War I,IN,indiana,Vanderburgh County,vanderburgh-county,in_18163,5000 Warren Dr,Evansville,47710,38.0242368,-87.5701318,true,,,,,,,,,365,"1800, 2nd Thurs.",Contact Gerald Davis (812) 491-6874,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=365
FRA Branch 377 - Wabash Valley,fra-branch-377-in,local,Branch 377,fra,FRA,world-war-1,World War I,IN,indiana,Vigo County,vigo-county,in_18167,931 Maple Ave,Terre Haute,47804,39.4918769,-87.4032732,true,,,,,,,,,377,"0800, 1st Thurs.","Delish Cafe, 8775 E. Wabash Ave., Seelyville, IN contact Dan Smock 812-232-4971",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=377
FRA Branch 167 - Sunflower,fra-branch-167-ks,local,Branch 167,fra,FRA,world-war-1,World War I,KS,kansas,Shawnee County,shawnee-county,ks_20177,900 SW Robinson Ave Apt 1403,Topeka,66606,39.05312929999999,-95.7579613,true,,,,,,,,,167,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=167
FRA Branch 241 - Air Capital,fra-branch-241-ks,local,Branch 241,fra,FRA,world-war-1,World War I,KS,kansas,Sedgwick County,sedgwick-county,ks_20173,1620 E 84th St,S Haysville,67060,37.5406298,-97.3163649,true,,,,,,,,,241,"1900, 3rd Thurs.","Good Shepherd Church, 1451 E. 47th St, S. Wichita, KS",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=241
FRA Branch 105 - Tri State,fra-branch-105-ky,local,Branch 105,fra,FRA,world-war-1,World War I,KY,kentucky,Daviess County,daviess-county,ky_21059,4100 Kipling Dr,Owensboro,42303,37.7297085,-87.1119879,true,,,https://www.facebook.com/groups/289042411146009,,,,,,105,"1800, 2nd Wed.","Owensboro VFW Post #696, 311 W. Veterans Blvd., Owensboro, KY",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=105
FRA Branch 177 - Derby,fra-branch-177-ky,local,Branch 177,fra,FRA,world-war-1,World War I,KY,kentucky,Jefferson County,jefferson-county,ky_21111,5410,Southdside Drive Louisville,40228,38.1697683,-85.7650149,true,,,https://www.facebook.com/derby.org,,,,,,177,"1000, 1st Sat.","Naval Operation Support Ctr., 5401 Southside Dr., Louisville, KY",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=177
FRA Branch 206 - Caveland,fra-branch-206-ky,local,Branch 206,fra,FRA,world-war-1,World War I,KY,kentucky,Warren County,warren-county,ky_21227,2123 Robin Rd,Bowling Green,42101,36.9790081,-86.4824161,true,,,,,,,,,206,"1830, 2nd Tues.",Contact Secretary,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=206
FRA Branch 223 - Western Kentucky,fra-branch-223-ky,local,Branch 223,fra,FRA,world-war-1,World War I,KY,kentucky,Ballard County,ballard-county,ky_21007,2129 Hinkleville Rd.,La Center,42056,37.0209426,-88.9343609,true,,,,,,,,,223,"1800, 3rd Tues.","Jimmy Bridges, 1475 Yarbro Ln., Paducah, KY",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=223
FRA Branch 283 - Northern Kentucky,fra-branch-283-ky,local,Branch 283,fra,FRA,world-war-1,World War I,KY,kentucky,Kenton County,kenton-county,ky_21117,1007 Stevenson Rd,Erlanger,41018,39.0038642,-84.5833011,true,,,,,,,,,283,"1900, 3rd Tues.","VFW Post 6423, 4435 Dixie Hwy., Elsmere, KY",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=283
FRA Branch 284 - Bluegrass,fra-branch-284-ky,local,Branch 284,fra,FRA,world-war-1,World War I,KY,kentucky,Fayette County,fayette-county,ky_21067,2056 Huckleberry Cir,Lexington,40514,37.9862039,-84.5774639,true,,,,,,,,,284,"1900, 4th Thurs.","Happy Dragon, 1510 Newtown Pike, Lexington, KY",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=284
"FRA Branch 352 - Ky, Ashland",fra-branch-352-ky,local,Branch 352,fra,FRA,world-war-1,World War I,KY,kentucky,Boyd County,boyd-county,ky_21019,,,,38.4790397,-82.6376391,true,,,,,,,,,352,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=352
FRA Branch 92 - New Orleans,fra-branch-92-la,local,Branch 92,fra,FRA,world-war-1,World War I,LA,louisiana,Jefferson Parish,jefferson-parish,la_22051,707 Breanon St,Metairie,70001,29.9808497,-90.1692065,true,,,,,,,,,92,"1900, 3rd Tues.","Contact Mary Vernoy, President, (504) 919-6224",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=092
FRA Branch 98 - Shreveport Bossier,fra-branch-98-la,local,Branch 98,fra,FRA,world-war-1,World War I,LA,louisiana,Bossier Parish,bossier-parish,la_22015,PO Box 806,Barksdale Afb,71110,32.5021671,-93.6268464,true,,,,,,,,,98,"1900, 1st Thur.","VFW Post #5951, 1315 Northgate Rd., Bossier City, LA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=098
