title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,hall_rental,legion_riders,sons_of_american_legion,auxiliary,boys_state,baseball,oratorical_contest,commander,dues,meeting_info,mylegion_url
American Legion AZ Post 0064,legion-post-0064-az,local,Post 0064,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,5001 E Cheyenne Dr,Phoenix,85044,33.345308,-111.977353,true,(480) 993-6980,wrcinaz@gmail.com,https://www.americanlegionpost64.com,,,,,,,false,true,false,true,true,true,true,Tamma L Notaro,35.0,Meetings 3rd Wednesday of each month @ 4:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003006400L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0065,legion-post-0065-az,local,Post 0065,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,1624 E Broadway Rd,Phoenix,85040,33.406925,-112.046535,true,(602) 268-6059,adjutantpost65@gmail.com,https://www.twilliamspost65.org,,,,,,,false,true,true,false,true,true,true,Jarvis Reddick,40.0,Meetings 2nd Saturday each month @ 2:00 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003006500L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0066,legion-post-0066-az,local,Post 0066,legion,LEGION,world-war-1,World War I,AZ,arizona,Santa Cruz County,santa-cruz-county,az_04023,1560 W Duval Mine Rd,Green Valley,85614,31.870241,-111.053978,true,(520) 393-0331,info@amlegpost66.org,http://www.amlegpost66.org,,,,,,,false,true,true,true,true,true,true,Marc R Davis,45.0,Meetings 2nd Tuesday each month @ 2:00 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003006600L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0068,legion-post-0068-az,local,Post 0068,legion,LEGION,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,4724 S 12th Ave,Tucson,85714,32.166089,-110.977682,true,(520) 746-9750,,,,,,,,,false,true,true,false,true,true,true,"Mr ARNOLD CANEZ ESCOBOZA, Jr",40.0,Meetings 1st Saturday each month @ 11:00 AM e-board @ 10:00 AM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003006800L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0069,legion-post-0069-az,local,Post 0069,legion,LEGION,world-war-1,World War I,AZ,arizona,Gila County,gila-county,az_04007,709 E St Hwy 260,Payson,85541,34.241626,-111.311403,true,(928) 474-6969,theblade1996@yahoo.com,http://www.Azlegion69.org,,,,,,,false,true,true,false,true,true,true,Edwin W Howard III,45.0,Meetings 1st Wednesday each month @ 6:00 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003006900L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0070,legion-post-0070-az,local,Post 0070,legion,LEGION,world-war-1,World War I,AZ,arizona,La Paz County,la-paz-county,az_04012,PO Box 451,Parker,85344-0451,34.145,-114.2863,true,(928) 916-4543,hermantjlaffoon@yahoo.com,,,,,,,,false,false,false,false,false,false,false,Clyde L Short Sr,35.0,Meetings 1st Monday each month @ 7pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003007000L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0072,legion-post-0072-az,local,Post 0072,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,"13835 N Tatum Blvd, Ste 9",Phoenix,85032,0,0,false,,jcaltman@cox.net,,,,,,,,false,false,false,false,false,false,false,Jon C Altmann,40.0,Meetings 3rd Saturday of each month at 12:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003007200L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0073,legion-post-0073-az,local,Post 0073,legion,LEGION,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,7959 N Thornydale Rd PO Box 91594,Tucson,85741,32.351278,-111.04705,true,(520) 203-2628,linonava@msn.com,,,,,,,,false,false,false,false,false,false,false,Lino Nava Sr,45.0,Meetings 3rd Saturday of each month @ 10:00am @ the elk's lodge #2663,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003007300L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0076,legion-post-0076-az,local,Post 0076,legion,LEGION,world-war-1,World War I,AZ,arizona,Navajo County,navajo-county,az_04017,381 N Central Ave,Show Low,85901,34.2668,-110.038,true,,,,,,,,,,false,true,false,false,true,true,true,Dennis K Woblick,40.0,"Meetings 1st Saturday each month @ 10am. held at vfw post 9907, 381 n central ave, show low, az 85901.",https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003007600L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0078,legion-post-0078-az,local,Post 0078,legion,LEGION,world-war-1,World War I,AZ,arizona,Yavapai County,yavapai-county,az_04025,3301 Highway 69 Humboldt,Dewey,86327,34.489863,-112.250474,true,(928) 632-5185,alpost78az@gmail.com,,,,,,,,false,true,true,false,true,true,true,,40.0,Meetings 1st Wednesday of each month @ 5:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003007800L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0079,legion-post-0079-az,local,Post 0079,legion,LEGION,world-war-1,World War I,AZ,arizona,Yavapai County,yavapai-county,az_04025,22911 Looka Way,Congress,85332,34.4147,-112.5452,true,(928) 427-3735,amlegion79@live.com,,,,,,,,false,true,true,true,true,true,true,Charles McCracken,35.0,Meetings 3rd Saturday each month @ 10:00am,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003007900L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0080,legion-post-0080-az,local,Post 0080,legion,LEGION,world-war-1,World War I,AZ,arizona,Navajo County,navajo-county,az_04017,PO Box 466,Kykotsmovi Village,86039-0466,35.8802,-110.6048,true,(928) 613-4863,,,,,,,,,false,false,false,false,false,false,false,,27.0,Meetings 1st Wednesday of each month @ 6:30pm mst,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003008000L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0081,legion-post-0081-az,local,Post 0081,legion,LEGION,world-war-1,World War I,AZ,arizona,Mohave County,mohave-county,az_04015,181 Paseo Del Sol,Lake Havasu City,86403,34.4759,-114.3484,true,(928) 855-2552,post81lhc@gmail.com,http://havasulegion82.com,,,,,,,false,true,true,false,true,true,true,Joseph M White,50.0,Meetings 4th Monday of each month @ 4:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003008100L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0084,legion-post-0084-az,local,Post 0084,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,PO Box 186,Sacaton,85147-0003,33.0792,-111.768,true,(520) 562-8484,ihpost84@gilanet.net,https://www.irahayespost84.org,,,,,,,false,false,false,false,false,false,false,Urban L Giff,34.0,Meetings 1st Thursday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003008400L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0086,legion-post-0086-az,local,Post 0086,legion,LEGION,world-war-1,World War I,AZ,arizona,Navajo County,navajo-county,az_04017,2068 Lumber Valley Rd,Overgaard,85933,34.405607,-110.568123,true,(928) 535-5266,alazpost86@gmail.com,http://www.post86.org,,,,,,,false,true,true,true,true,true,true,Steve Huddleston,40.0,Meetings 2nd Monday of each month @ 6pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003008600L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0087,legion-post-0087-az,local,Post 0087,legion,LEGION,world-war-1,World War I,AZ,arizona,Mohave County,mohave-county,az_04015,2249 Clearwater Dr,Bullhead City,86442,35.095004,-114.630717,true,(928) 763-0305,americanlegion87@frontiernet.net,http://www.americanlegionpost87.org,,,,,,,false,true,true,false,true,true,true,ROBERT P SNYDER,60.0,Meetings 2nd Saturday of each month @ 10:00am,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003008700L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0088,legion-post-0088-az,local,Post 0088,legion,LEGION,world-war-1,World War I,AZ,arizona,Mohave County,mohave-county,az_04015,15940 N Pierce Ferry Rd,Dolan Springs,86441,35.588711,-114.276099,true,(928) 767-3088,alpost88@gmail.com,http://www.alpost88@gmail.com,,,,,,,false,true,true,false,true,true,true,Bryan E Anderson,38.0,Meetings 2nd Wednesday of each month @ 1:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003008800L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0089,legion-post-0089-az,local,Post 0089,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,4701 19th Ave,Phoenix,85041,33.505697,-112.099722,true,,,,,,,,,,false,false,false,false,false,false,false,,55.0,Meetings no meetings,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003008900L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0090,legion-post-0090-az,local,Post 0090,legion,LEGION,world-war-1,World War I,AZ,arizona,Yavapai County,yavapai-county,az_04025,34081 Velda Rose Rd,Black Canyon City,85324,34.0931,-112.1011,true,(602) 762-7526,apettylegionpost90@gmail.com,,,,,,,,false,true,true,true,true,true,true,Anthony Petty,45.0,Meetings 2nd Tuesday of each month @ 6:30 PM held at vfw post 1796,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003009000L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0091,legion-post-0091-az,local,Post 0091,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,922 N Alma School Rd,Chandler,85224,33.31983,-111.859292,true,(480) 855-3268,commander@azlegion91.org,http://www.azlegion91.org,,,,,,,true,true,true,false,true,true,true,David K Melka,40.0,Meetings 3rd Sunday of each month @ 10:00am,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003009100L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0093,legion-post-0093-az,local,Post 0093,legion,LEGION,world-war-1,World War I,AZ,arizona,Yavapai County,yavapai-county,az_04025,286 S 3rd St,Camp Verde,86322,34.564877,-111.856818,true,(928) 567-6154,campverdealpost93@hotmail.com,,,,,,,,false,true,true,false,true,true,true,Stewart Phelan,50.0,Meetings 1st Saturday of each month @ 11:30 AM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003009300L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0094,legion-post-0094-az,local,Post 0094,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,PO Box 5447,Sun City West,85375,33.6694,-112.3577,true,,azlegion94@gmail.com,http://www.azlegion94.org,,,,,,,false,false,false,false,false,false,false,Jack E Coyle,45.0,Meetings 1st Thursday each month @ 10:00 AM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003009400L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0095,legion-post-0095-az,local,Post 0095,legion,LEGION,world-war-1,World War I,AZ,arizona,Graham County,graham-county,az_04009,2256 S 3rd Ave.,Solomon,85551,32.813321,-109.627537,true,(928) 428-7725,,,,,,,,,false,true,true,false,true,true,true,Michael Aranda,40.0,Meetings 3rd Wednesday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003009500L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0096,legion-post-0096-az,local,Post 0096,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,PO Box 7096,Surprise,85374-0101,33.6378,-112.3819,true,(623) 584-8877,gvan8888@aol.com,https://www.azalpost96.com,,,,,,,false,true,false,false,true,true,true,Michael J Elliott,50.0,Meetings 4th Thursday each month @ 4:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003009600L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0097,legion-post-0097-az,local,Post 0097,legion,LEGION,world-war-1,World War I,AZ,arizona,Pinal County,pinal-county,az_04021,5764 E Hunt Hwy,Florence,85132,33.091,-111.4997,true,(520) 759-7009,stvpost97@gmail.com,https://www.stvlegion.com,,,,,,,true,true,true,true,true,true,true,Brent D Doyle,45.0,"Meetings 2nd Monday of the month @ 7:00 PM held at 5764 e hunt hwy, florence, az 85132",https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003009700L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0100,legion-post-0100-az,local,Post 0100,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,4701 N 19th Ave Ste 200,Phoenix,85015,33.505697,-112.099722,true,(602) 264-7706,,,,,,,,,,,,,,,,,,,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003010000L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0101,legion-post-0101-az,local,Post 0101,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,PO Box 1101,Sun City,85373,33.6165,-112.2818,true,,,,,,,,,,false,false,false,false,false,false,false,Phillip M Easley II,40.0,Meetings 3rd Friday each month @ 2 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003010100L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0102,legion-post-0102-az,local,Post 0102,legion,LEGION,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,5900 W Western Way Cir,Tucson,85713,32.186872,-111.091743,true,(862) 273-2689,hboehl@yahoo.com,,,,,,,,false,true,true,false,true,true,true,Helmut B Boehl,45.0,Meetings 2nd Tuesday of september-may @ 7:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003010200L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0103,legion-post-0103-az,local,Post 0103,legion,LEGION,world-war-1,World War I,AZ,arizona,Mohave County,mohave-county,az_04015,210 E Meadview Blvd,Meadview,86444,36.001601,-114.070711,true,(928) 564-2441,alpost103az@yahoo.com,,,,,,,,false,true,false,true,true,true,true,,40.0,"Meetings 3rd Saturday of each month @ 9:00am held at vfw, 210 e meadview blvd, meadview, az",https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003010300L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0105,legion-post-0105-az,local,Post 0105,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,1818 W Bell Rd Ste 100,Phoenix,85023,33.640286,-112.098056,true,,amlegpost105@outlook.com,,,,,,,,false,true,true,true,true,true,true,PAUL R MURPHY,45.0,Meetings 4th Sunday of each month @ 4:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003010500L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0107,legion-post-0107-az,local,Post 0107,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,20001 N Cave Creek Rd,Phoenix,85024,33.666995,-112.029922,true,(480) 351-7714,finance@alpost107.phxcoxmail.com,http://www.alpost107.com,,,,,,,false,true,true,false,true,true,true,Terry G Foss,60.0,Meetings 3rd Wednesday of each month @ 7:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003010700L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0108,legion-post-0108-az,local,Post 0108,legion,LEGION,world-war-1,World War I,AZ,arizona,Yavapai County,yavapai-county,az_04025,PO Box 26239,Prescott Valley,86312-6239,34.598,-112.3186,true,(928) 277-8213,pvpost108@gmail.com,http://www.pvpost108.com,,,,,,,false,true,false,true,true,true,true,Gary A Taylor,45.0,Meetings 2nd Tuesday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003010800L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0109,legion-post-0109-az,local,Post 0109,legion,LEGION,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,15921 S Houghton Rd,Vail,85641,31.966353,-110.772257,true,(520) 762-5652,al109commander@gmail.com,https://www.post109.org,,,,,,,true,true,true,true,true,true,true,"Roosevelt McKnight, Jr",40.0,Meetings 2nd Tuesday of each month @ 7:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003010900L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0112,legion-post-0112-az,local,Post 0112,legion,LEGION,world-war-1,World War I,AZ,arizona,,,az_,PO Box 5244,Leupp,86035-5244,0,0,false,(928) 814-8302,mrmelvinnez@yahoo.com,,,,,,,,false,false,false,false,false,false,false,Mrs Gabriella Mehl,35.0,Meetings 3rd Saturday of each month @ 12:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003011200L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0113,legion-post-0113-az,local,Post 0113,legion,LEGION,world-war-1,World War I,AZ,arizona,La Paz County,la-paz-county,az_04012,305 N Central Blvd Ste B,Quartzsite,85346,33.672318,-114.216822,true,,post113legionaz@outlook.com,,,,,,,,false,true,false,false,true,true,true,ROY A AUSTIN,45.0,Meetings 2nd Saturday of each month @ 12:00 noon,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003011300L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0114,legion-post-0114-az,local,Post 0114,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,10223 E Osborn Rd,Scottsdale,85256,0,0,false,(480) 362-7795,,,,,,,,,false,false,false,false,false,false,false,Calvin A Watuema,32.0,Meetings 1st Tuesday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003011400L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0115,legion-post-0115-az,local,Post 0115,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,5600 W Union Hills Dr,Glendale,85308,33.5269,-112.229,true,(623) 772-6223,adjutant@post115az.com,http://www.post115az.com,,,,,,,false,true,true,false,true,true,true,William E Lindahl,45.0,Meetings 3rd Thursday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003011500L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0117,legion-post-0117-az,local,Post 0117,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,3230 E Thunderbird Rd,Phoenix,85032,33.611683,-112.012674,true,(602) 358-7370,adjutant@pattillmanpost117.org,http://www.pattillmanpost117.org,,,,,,,true,true,true,true,true,true,true,Brian J Fleming,50.0,Meetings 1st Saturday of month @ 9:00am,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003011700L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0122,legion-post-0122-az,local,Post 0122,legion,LEGION,world-war-1,World War I,AZ,arizona,Yavapai County,yavapai-county,az_04025,20178.0,Mayer,86333,34.297087,-112.109186,true,(928)632-7819,adjal122@gmail.com,,,,,,,,,,,,,,,,,,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003012200L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0123,legion-post-0123-az,local,Post 0123,legion,LEGION,world-war-1,World War I,AZ,arizona,Yavapai County,yavapai-county,az_04025,22255 Picacho St,Seligman,86337,35.327058,-112.872666,true,(928) 422-5905,legionpost123@gmail.com,,,,,,,,false,true,true,false,true,true,true,BENJAMIN EMERY,40.0,Meetings 1st Monday of each month @ 5:00 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003012300L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0124,legion-post-0124-az,local,Post 0124,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,9201 S Avenida Del Yaqui Ste 3 Guadalupe,Tempe,85283,33.363588,-111.962947,true,(480) 388-4821,guadalupepost124@gmail.com,,,,,,,,false,true,true,true,true,true,true,Jaime Jimenez,40.0,Meetings 2nd Saturday of each month @ 10am,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003012400L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0125,legion-post-0125-az,local,Post 0125,legion,LEGION,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,7418 S Camino Vahcom,Tucson,85757,32.11679,-111.070196,true,(520) 809-5073,americanlegion_yoemepost125@yahoo.com,,,,,,,,false,true,true,true,true,true,true,"Jose M Hernandez, Jr",35.0,Meetings 2nd Saturday of each month,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003012500L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0126,legion-post-0126-az,local,Post 0126,legion,LEGION,world-war-1,World War I,AZ,arizona,Navajo County,navajo-county,az_04017,510 S 2nd St W,Snowflake,85937,34.502,-110.0825,true,,dennis.chandler49@yahoo.com,,,,,,,,false,true,true,true,true,true,true,CALEB OVERBAY,40.0,Meetings 3rd Tuesday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003012600L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0128,legion-post-0128-az,local,Post 0128,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,3701 W,Phoenix,85086-0466,33.868062,-112.139397,true,(623) 312-2210,gwalker2105@cox.net,https://www.daisymtnvets.org/american-legion/,,,,,,,false,false,false,false,false,false,false,Mary L Spicer,45.0,Meetings 2nd Thursday of each month @ 6:30pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003012800L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0129,legion-post-0129-az,local,Post 0129,legion,LEGION,world-war-1,World War I,AZ,arizona,Pinal County,pinal-county,az_04021,22246 S Ellsworth Rd,Queen Creek,85142,33.2446,-111.6384,true,(480) 270-4695,info@queencreeklegion.com,http://www.queencreeklegion.com,,,,,,,false,true,true,true,true,true,true,Craig S Barnes,51.0,Meetings 3rd Saturday of each month @ 9:00am,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003012900L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0130,legion-post-0130-az,local,Post 0130,legion,LEGION,world-war-1,World War I,AZ,arizona,Apache County,apache-county,az_04001,25 County Road 5041,Concho,85924,34.4743,-109.6102,true,,azlegionpost130@yahoo.com,,,,,,,,false,true,false,false,true,true,true,Jason R Mains,35.0,Meetings 1st Tuesday each month @ 6:00 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003013000L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0131,legion-post-0131-az,local,Post 0131,legion,LEGION,world-war-1,World War I,AZ,arizona,Santa Cruz County,santa-cruz-county,az_04023,249 W Esperanza Blvd,Green Valley,85614,31.870315,-110.994502,true,(520) 398-6245,maderapost131@gmail.com,http://www.post131.org,,,,,,,false,true,true,true,true,true,true,Joseph C Melhorn,50.0,Meetings 3rd Wednesday each month @ 3:00 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003013100L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0132,legion-post-0132-az,local,Post 0132,legion,LEGION,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,2285 E Rancho Vistoso Blvd,Tucson,85755,32.4228,-110.9945,true,(214) 431-2187,ovpost132@gmail.com,http://www.ovamericanlegion132.com/,,,,,,,false,true,true,true,true,true,true,Thomas E Roblee,45.0,"Meetings 3rd Thursday of each month @ 6:30 PM 2285 e rancho vistoso blvd, oro valley, az 85755",https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003013200L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0133,legion-post-0133-az,local,Post 0133,legion,LEGION,world-war-1,World War I,AZ,arizona,Pinal County,pinal-county,az_04021,41614 W Smith-Enke Rd Ste 110,Maricopa,85138,33.0727,-112.0286,true,(520) 233-2400,adjutant@alpost133az.org,http://www.alpost133az.org,,,,,,,false,true,true,true,true,true,true,Jonell Sullivan,40.0,Meetings 3rd Thursday each month @ 7 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003013300L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0134,legion-post-0134-az,local,Post 0134,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,507 E La Mirada Dr,Phoenix,85042,33.361714,-112.067645,true,(602) 304-0603,post134az@cox.net,,,,,,,,false,true,true,true,true,true,true,,35.0,Meetings 3rd Saturday each month @ 10:00 AM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003013400L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0135,legion-post-0135-az,local,Post 0135,legion,LEGION,world-war-1,World War I,AZ,arizona,Yavapai County,yavapai-county,az_04025,11350 E Cornville Rd,Cornville,86325,34.717784,-111.903258,true,(602) 935-1936,jeristrande21@gmail.com,http://www.alazp135.org,,,,,,,false,false,false,false,false,false,false,Jan Allbright,40.0,Meetings 2nd Wednesday each month @ 6:30 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003013500L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0136,legion-post-0136-az,local,Post 0136,legion,LEGION,world-war-1,World War I,AZ,arizona,Mohave County,mohave-county,az_04015,12320 S Third St,Yucca,86438,34.863,-114.146,true,(909) 414-8517,americanlegionucca@gmail.com,,,,,,,,false,false,false,false,false,false,false,ROBERT L MAYO,35.0,Meetings 2nd Monday each month @6:30 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003013600L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0137,legion-post-0137-az,local,Post 0137,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,37702 W Indian School Rd,Tonopah,85354,33.493882,-112.861404,true,(602) 930-5503,azpost137adjutant@gmail.com,,,,,,,,false,false,false,false,false,false,false,Walter Neitch,35.0,Meetings 3rd Monday of each month @ 6:30 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003013700L&@IP_IDENTITY_SCID=0
American Legion AZ Post 0138,legion-post-0138-az,local,Post 0138,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,1264 W University Dr,Mesa,85201,33.407276,-111.937905,true,(602) 510-0571,info@al138.org,http://www.legionpost138.org,,,,,,,false,true,true,true,true,true,true,"Lawrence S Harper, Sr",40.0,Meetings 4th Wednesday of each month @ 7:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00003013800L&@IP_IDENTITY_SCID=0
