title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,founding_year,mission,tagline,donation_url
Daughters of the Republic of Texas,drtinfo,hq,DRTINFO,,DRTINFO,mexican-american-war,Mexican–American War,TX,texas,Travis County,travis-county,tx_48453,810 San Marcos Street,Austin,78702,31.2676615,-97.7314647,true,512-339-1997,headquarters@drtinfo.org,https://drtinfo.org/,http://www.facebook.com/drtinfo,,,https://www.youtube.com/@daughtersoftherepublicofte5372,,1891,"A lineal organization, shall educate, research, preserve, and protect the history of the Republic of Texas for all future generations.",,https://drtinfo.org/Members/Members/Giving/Choose_a_Project.aspx?hkey=36ae1ae9-4593-45e9-adb6-40e6a266dd11
Descendants of Korean War Foundation,dkwf,hq,DKWF,,,korean-war,Korean War,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,470 L’Enfant Plaza SW #23043,Washington,20026,38.8841498,-77.0244777,true,,,http://descendantsofkoreanwar.org/,,,,,,,,,http://descendantsofkoreanwar.org/donate
"Descendants of Washington’s Army at Valley Forge, Society of the",dvf,hq,DVF,,,american-revolution,American Revolution,PA,pennsylvania,Montgomery County,montgomery-county,pa_42091,1400 North Outer Line Drive,King of Prussia,19406,40.1017751,-75.4611715,true,,,https://www.valleyforgesociety.com/,https://www.facebook.com/valleyforgesociety,,,https://www.youtube.com/channel/ucpbxpttty5z_xs_lbkid-ya/playlists?view_as=subscriber,,,"The Society's mission is to honor and preserve the memory of the patriots who endured the winter encampment at Valley Forge. It is ""a historical and genealogical organization dedicated to honoring the men and women of the Encampment at Valley Forge.""",,https://www.valleyforgesociety.com/donate
Destroyer-Escort Sailors Association,desa,hq,DESA,,,world-war-2,World War II,IN,indiana,Marion County,marion-county,in_18097,P.O Box 1055,Indianapolis,46206,39.7590203,-86.1611235,true,800.433.3318,,https://www.legion.org/information-center/news/your-words/personal-experiences/destroyer-escort-sailors-association-and-the-uss-slater-de766,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,,https://www.youtube.com/user/americanlegionhq,https://www.linkedin.com/company/the-american-legion,,To preserve the history of destroyer escorts and honor those who served aboard them.,,https://www.legion.org/information-center/news/your-words/personal-experiences/destroyer-escort-sailors-association-and-the-uss-slater-de766/donate
Disabled American Veterans,dav,hq,DAV,,DAV,world-war-1,World War I,KY,kentucky,Boone County,boone-county,ky_21015,860 Dolwick Drive,Erlanger,41018,39.0388624,-84.5987027,true,(877) 426-2838,info@dav.org,https://www.dav.org/,https://www.facebook.com/dav,http://instagram.com/davhq,,https://www.youtube.com/c/disabledamericanveterans,https://www.linkedin.com/company/davhq,1920,To empower veterans to lead high-quality lives with respect and dignity by ensuring that veterans and their families can access the full range of benefits available to them.,,https://www.dav.org/donate
Dog Tag Inc,dogtaginc,hq,DOGTAGINC,,,war-on-terror,War on Terror,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,3206 Grace Street NW,Washington,20007,38.9038664,-77.0631888,true,(202) 407-9609,,https://www.dogtaginc.org/,https://www.facebook.com/dogtagbakery/,https://www.instagram.com/dogtagbakery/,,https://www.youtube.com/watch?v=oggykxsbww0,https://www.linkedin.com/company/dog-tag-bakery-inc-/,2014,"<p>The <strong>Dog Tag Inc.</strong> is a nonprofit organization founded in 2014 to empower veterans, military spouses, and caregivers through entrepreneurship education and leadership development. Dog Tag Inc. delivers a rigorous, values-based fellowship program designed to help participants build purpose-driven businesses and successful post-military careers.</p>",,https://www.dogtaginc.org/donate
D’Aniello Institute for Veterans and Military Families,ivmf,hq,IVMF,,,world-war-1,World War I,NY,new-york,Onondaga County,onondaga-county,ny_36067,Building 101 Waverly Ave,Syracuse,13244,43.0411217,-76.1362286,true,315-443-0141,,https://ivmf.syracuse.edu/,https://www.facebook.com/ivmfsyracuseu,https://www.instagram.com/ivmfsyracuseu/,,https://www.youtube.com/channel/uckg0u_d9yq0-8h9wuobejca,https://www.linkedin.com/school/ivmfsyracuseu/,2012,,,https://ivmf.syracuse.edu/donate
Elizabeth Dole Foundation,elizabethdolefoundation,hq,ELIZABETHDOLEFOUNDATION,,,war-on-terror,War on Terror,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,St NW Suite 725,Washington,20006,38.897362,-77.0417031,true,202-249-7170,info@elizabethdolefoundation.org,https://www.elizabethdolefoundation.org/,,,,,,2012,"To empower, support, and honor military caregivers, the hidden heroes of the U.S. military.",,https://www.elizabethdolefoundation.org/donate
Families of World War II Veterans,familiesww2veterans,hq,FAMILIESWW2VETERANS,,,world-war-2,World War II,TX,texas,Collin County,collin-county,tx_48085,P.O. Box 2568,Frisco,75034,33.1376528,-96.8565427,true,,,https://familiesww2veterans.org/,https://www.facebook.com/FWWIIV/,https://www.instagram.com/familiesww2veterans/,https://twitter.com/FWWIIV,,,,To preserve the memory of WWII veterans and support their families.,,https://familiesww2veterans.org/donate
Fisher House Foundation,fhf,hq,FHF,,FHF,gulf-war,Gulf War,MD,maryland,Montgomery County,montgomery-county,md_24031,"12300 Twinbrook Pkwy, Suite 410",Rockville,20852,39.0589453,-77.119842,true,(888) 294-8560,info@fisherhouse.org,https://fisherhouse.org/,http://www.facebook.com/fisherhouse,https://www.instagram.com/fisherhousefdtn/,https://twitter.com/FisherHouseFdtn,http://www.youtube.com/user/FisherHouseFoundatio,https://www.linkedin.com/company/fisher-house-foundation/,1990,"Provide ""a home away from home"" for military and veteran families",,https://fisherhouse.org/#donate
Fleet Reserve Association,fra,hq,FRA,,FRA,world-war-1,World War I,VA,virginia,Alexandria city,alexandria-city,va_51510,"1600 Duke Street, Suite 300",Alexandria,22314,38.8050848,-77.0647058,true,800-372-1924,fra@fra.org,https://www.fra.org,,,,,,1924,,,https://www.fra.org/donate
Folds of Honor,foldsofhonor,hq,FOLDSOFHONOR,,,war-on-terror,War on Terror,OK,oklahoma,Rogers County,rogers-county,ok_40131,5800 N. Patriot Dr.,Owasso,74055,36.2391958,-95.7724352,true,918-274-4700,info@foldsofhonor.org,https://foldsofhonor.org/,,,,,,2007,Honor Their Sacrifice. Educate Their Legacy,,https://foldsofhonor.org/donate
"Footprints, Inc.",kcfootprints,hq,KCFOOTPRINTS,,,war-on-terror,War on Terror,MO,missouri,Jackson County,jackson-county,mo_29095,4501 Troost Avenue Kansas,City,64110,39.045139,-94.5725175,true,(816) 561-0567,info@kcfootprints.org,https://www.kcfootprints.org/,https://www.facebook.com/kcfootprints,https://www.instagram.com/kcfootprints,,,,,To provide housing and support services to those in need.,,https://www.kcfootprints.org/donate
Foundation for Women Warriors,foundationforwomenwarriors,hq,FOUNDATIONFORWOMENWARRIORS,,,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,Center Dr Suite R,Vista,92081,33.1425288,-117.2452418,true,310.733.2450,,https://foundationforwomenwarriors.org/,https://www.facebook.com/ffwomenwarriors/,https://instagram.com/ffwomenwarriors,,,,1921,"To honor and empower women veterans with housing, childcare, and career development.",,https://foundationforwomenwarriors.org/donate
"Founders and Patriots of America, Order of the",ofpa,hq,OFPA,,,american-revolution,American Revolution,NJ,new-jersey,Morris County,morris-county,nj_34027,11 Quail Ct,Kinnelon,7405,40.9850788,-74.4044293,true,,,https://ofpa.org/,,,,,,1896,Steadfast for God and Country,,https://ofpa.org/donate
FourBlock Foundation,fourblock,hq,FOURBLOCK,,,war-on-terror,War on Terror,NY,new-york,New York County,new-york-county,ny_36061,Avenue 29th Floor New,York,10169,40.7545632,-73.9759771,true,,,https://fourblock.org/,https://www.facebook.com/fourblock/,,,,https://www.linkedin.com/company/fourblock,2013,To empower veterans to successfully transition to civilian careers.,,https://fourblock.org/donate
Gary Sinise Foundation,gsf,hq,GSF,,,war-on-terror,War on Terror,TN,tennessee,Williamson County,williamson-county,tn_47187,"2555 Meridian Blvd, Ste 300",Franklin,37067,35.9511402,-86.8094248,true,(888) 708-7757,info@garysinisefoundation.org,https://www.garysinisefoundation.org/,,,,,,2011,"The Gary Sinise Foundation serves our nation by honoring our defenders, veterans, first responders, their families, and those in need. We do this by creating and supporting unique programs designed to entertain, educate, inspire, strengthen, and build communities.",,https://www.garysinisefoundation.org/donate
General Society of Colonial Wars,gscw,hq,GSCW,,,american-revolution,American Revolution,PA,pennsylvania,Adams County,adams-county,pa_42001,"1418 Baltimore Street, Suite 12-129",Hanover,17331,39.7730046,-76.9582749,true,717-969-8947,admin@gscw.org,https://www.gscw.org/,,,,,,1892,,,https://www.gscw.org/donate
Global War on Terrorism Memorial Foundation,gwotmf,hq,GWOTMF,,,war-on-terror,War on Terror,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,1300 Pennsylvania Ave. NW Suite 700,Washington,20004,38.8943764,-77.0305726,true,,,https://www.gwotmemorialfoundation.org/,,,,,,,To establish a memorial honoring GWOT service members.,,https://www.gwotmemorialfoundation.org/donate
Gold Star Wives of America,goldstarwives,hq,GOLDSTARWIVES,,,world-war-2,World War II,AL,alabama,Jefferson County,jefferson-county,al_01073,Office P.O. Box 279,Kimberly,35091,33.7829687,-86.7969244,true,718-672-6600,admin@goldstarwives.org,https://www.goldstarwives.org/,https://www.facebook.com/groups/982985486334000,,,,,1945,,,https://www.goldstarwives.org/donate
Grace After Fire,graceafterfire,hq,GRACEAFTERFIRE,,,war-on-terror,War on Terror,TX,texas,Harris County,harris-county,tx_48201,Fire 2929 McKinney Street,Houston,77003,29.7471343,-95.3481915,true,(832) 769-6582,intake@graceafterfire.org,https://www.graceafterfire.org/,http://www.facebook.com/graceafterfire,https://instagram.com/graceafterfire,,https://www.youtube.com/user/graceafterfireusa,,2011,"To provide advocacy, community, and resources for women veterans.",,https://www.graceafterfire.org/donate
Grand Army of the Republic,gar,hq,GAR,,gar,civil-war,American Civil War,IL,illinois,Macon County,macon-county,il_17115,,Decatur,,,,false,,,,,,,,,1866,"Fraternity, Charity, and Loyalty.",,
Guardian Angels Medical Service Dogs,medicalservicedogs,hq,MEDICALSERVICEDOGS,,,war-on-terror,War on Terror,FL,florida,Henderson County,henderson-county,,33 No. of States,Beverly Hills,75782,28.9169245,-82.4581536,true,800-398-6102,,https://www.medicalservicedogs.org/,https://www.facebook.com/guardianangelsmedicalservicedogs/,https://www.instagram.com/guardian_angels_msdogs/,,https://www.youtube.com/watch?v=ej4vkfi2tog,https://www.linkedin.com/company/6810395/,2009,,,https://www.medicalservicedogs.org/donate
Headstrong Project,getheadstrong,hq,GETHEADSTRONG,,,war-on-terror,War on Terror,NY,new-york,New York County,new-york-county,ny_36061,"1375 Broadway, 3rd Floor",New York,10018,40.7526004,-73.9878896,true,212-367-9090,info@getheadstrong.org,https://getheadstrong.org/,,,,,,2012,To ensure all post-9/11 combat veterans and their families have immediate and barrier-free access to mental health care.,,https://getheadstrong.org/donate
"Headstrong Project, Inc",theheadstrongproject,hq,THEHEADSTRONGPROJECT,,,war-on-terror,War on Terror,NY,new-york,Queens County,queens-county,ny_36081,162nd St. STE 203,Flushing,11358,40.7606196,-73.8039542,true,212-367-9090,info@theheadstrongproject.org,https://theheadstrongproject.org/,https://www.facebook.com/headstrongproject/,https://www.instagram.com/headstrongproject,,https://www.youtube.com/channel/ucnomr4oezlicaryippc73ya,https://www.linkedin.com/company/headstrongproject,2012,"Veterans, service members, and their families seeking PTSD treatment.",,https://theheadstrongproject.org/donate
Hearts and Homes for Veterans Inc.,hhveterans,hq,HHVETERANS,,,vietnam-war,Vietnam War,FL,florida,Lee County,lee-county,fl_12071,2230 Alicia Street Fort,Myers,33901,26.6359192,-81.8615895,true,239-674-1719,,https://www.hhveterans.com/,https://www.facebook.com/share/ebfqs3xtmhpjm82v/?mibextid=qi2omg,,,,,,To provide housing and supportive services to homeless veterans.,,https://www.hhveterans.com/donate
Helmets to Hardhats’,h2h,hq,H2H,,,war-on-terror,War on Terror,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,"815 16th Street, NW, Suite 600",Washington,20006,38.9009103,-77.0359225,true,1-866-741-6210,,https://helmetstohardhats.org/,https://www.facebook.com/photo.php?fbid=1289923256510798&set=a.335114528658347&type=3&ref=embed_page,,,,,,"The Helmets to Hardhats is a national nonprofit organization founded in 2003 to help veterans, transitioning service members, National Guard, and Reserve personnel build successful civilian careers in the construction industry. The organization connects the military community with career training, apprenticeships, and employment opportunities in skilled trades.",,https://helmetstohardhats.org/donate
Hire Heroes USA,hireheroesusa,hq,HIREHEROESUSA,,,war-on-terror,War on Terror,GA,georgia,Cherokee County,cherokee-county,ga_13057,"13010 Morris Rd, Suite 175",Alpharetta,30004,34.0958236,-84.263232,true,844.634.1520,clientsupport@hireheroesusa.org,https://www.hireheroesusa.org/,,,,,,2007,"To empower U.S. military members, veterans, and spouses to succeed in the civilian workforce through personalized employment training and corporate engagement at no cost.",,https://www.hireheroesusa.org/donate
Hiring Our Heroes,hiringourheroes,hq,HIRINGOURHEROES,,,war-on-terror,War on Terror,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,1615 H Street NW,Washington,20062,38.9005814,-77.0374662,true,202-463-5807,,https://www.hiringourheroes.org/,https://www.facebook.com/hiringourheroes/,https://www.instagram.com/hiringourheroes/,,,https://www.linkedin.com/company/hiringourheroes,2011,To connect veterans and military spouses with meaningful employment opportunities.,,https://www.hiringourheroes.org/donate
Home Base Veteran and Family Care,redsoxfoundation,hq,REDSOXFOUNDATION,,,war-on-terror,War on Terror,MA,massachusetts,Norfolk County,norfolk-county,ma_25021,Foundation 4 Jersey Street,Boston,2215,42.3467512,-71.0969456,true,617.226.6000,Support@runtohomebase.org,https://www.redsoxfoundation.org/home-base/,https://www.facebook.com/redsoxfoundation/,https://www.instagram.com/redsoxfoundation/,,http://www.youtube.com/user/redsoxfoundation,,2009,"To heal the invisible wounds of war for veterans of all eras, service members, and their families through clinical care, wellness, education, and research.",,https://www.redsoxfoundation.org/home-base/donate
"Homes For Our Troops, Inc.",hfotusa,hq,HFOTUSA,,,war-on-terror,War on Terror,MA,massachusetts,Bristol County,bristol-county,ma_25005,Troops 6 Main Street,Taunton,2780,41.9018833,-71.0918423,true,866-787-6677,info@hfotusa.org,https://www.hfotusa.org/,https://www.facebook.com/homesforourtroops,https://www.instagram.com/homesforourtroops/,,https://www.youtube.com/channel/ucafdso2xxqimvvdov1k7rja,https://www.linkedin.com/company/homes-for-our-troops,2004,"To build and donate specially adapted custom homes nationwide for severely injured post-9/11 Veterans, to enable them to rebuild their lives.",,https://www.hfotusa.org/donate
Honor Flight Network,honorflight,hq,HONORFLIGHT,,,world-war-2,World War II,VA,virginia,Arlington County,arlington-county,va_51013,"1405 South Fern Street, #702",Arlington,22202,38.8606498,-77.0560648,true,937-521-2400,info@honorflight.org,https://www.honorflight.org/,,,,,,2005,"To celebrate America's Veterans by inviting them to share in a day of honor at our nation's memorials, creating a nation where all veterans experience the honor, gratitude, and community of support they deserve.",,https://www.honorflight.org/donate
Hope For The Warriors,hopeforthewarriors,hq,HOPEFORTHEWARRIORS,,,war-on-terror,War on Terror,VA,virginia,Fairfax County,fairfax-county,va_51059,"8003 Forbes Place, Suite 320",Springfield,22151,38.8073918,-77.2203068,true,877-246-7349,info@hopeforthewarriors.org,https://www.hopeforthewarriors.org/,,,,,,2006,"To restore a sense of self, family, and hope for post-9/11 veterans, service members, and military families through comprehensive support programs.",,https://www.hopeforthewarriors.org/donate
International B-24 Liberator Club,bomberlegends,hq,BOMBERLEGENDS,,,world-war-2,World War II,CA,california,Kern County,kern-county,ca_06029,Voyager Drive #1479 •,Tehachapi,93581,35.1426611,-118.4508323,true,,info@bomberlegends.com,https://www.bomberlegends.com/about-us.html,,,,,,,To honor B-24 crews and preserve the history of the Liberator.,,https://www.bomberlegends.com/about-us.html/donate
Iraq and Afghanistan Veterans of America,iava,hq,IAVA,,,war-on-terror,War on Terror,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,"80 M Street SE, Fl 2",Washington,20003,38.8767875,-77.006359,true,(202) 544-7692,info@iava.org,https://iava.org/,,,,,,2004,"To connect, unite, and empower post-9/11 generation veterans through education, advocacy, and community building while advocating on behalf of all veterans in health, education, employment, and community.",,https://iava.org/donate
Jewish War Veterans of the United States of America,jwv,hq,JWV,,,spanish-american-war,Spanish–American War,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,1811 R Street NW,Washington,20009,38.912864,-77.0420702,true,202-265-6280,jwv@jwv.org,https://www.jwv.org/,https://www.facebook.com/jewishwarveterans,https://www.instagram.com/jewishwarveterans/,,https://www.youtube.com/live/osmwl8e2bt0?si=db4lkijikogmzvvb&t=8564,https://www.linkedin.com/groups/4419008/profile,1896,"To maintain true allegiance to the United States, foster and perpetuate true Americanism, combat bigotry and prevent defamation of Jews.",,https://www.jwv.org/donate
K9s For Warriors,k9sforwarriors,hq,K9SFORWARRIORS,,,war-on-terror,War on Terror,FL,florida,Duval County,duval-county,fl_12031,114 Camp K9 Road,Ponte Vedra,32081,30.1042273,-81.4368847,true,904-686-1956,info@k9sforwarriors.org,https://k9sforwarriors.org/,https://www.facebook.com/k9sforwarriors/,https://www.instagram.com/k9sforwarriors/?hl=en,,,,2011,"To end veteran suicide by providing highly-trained service dogs to military veterans suffering from PTSD, traumatic brain injury, and military sexual trauma at no cost to the veteran.",,https://k9sforwarriors.org/donate
Korean War Memorial Advisory Board,koreanwarvetsmemorial,hq,KOREANWARVETSMEMORIAL,,,korean-war,Korean War,VA,virginia,Alexandria city,alexandria-city,va_51510,Washington St. Suite 220,Alexandria,22314,38.8103673,-77.0458419,true,571-982-5291,contact@kwvmf.org,https://koreanwarvetsmemorial.org/,https://www.facebook.com/kwvmfusa,https://www.instagram.com/koreanwarvetsmemorialdc,,https://www.youtube.com/channel/ucygwezfckpnkmyigzf6iusg,,,To honor Korean War veterans and maintain their memorial.,,https://koreanwarvetsmemorial.org/donate
Korean War Veterans Association,kwva,hq,KWVA,,KWVA,korean-war,Korean War,SC,south-carolina,Beaufort County,beaufort-county,sc_45013,3 Black Skimmer Ct,Beaufort,29907,32.4963577,-80.6386315,true,(843) 379-3993,headquarters@kwva.us,https://kwva.us/,https://facebook.com/kwvausa,,,,,1950,The KWVA is a Veterans' service organization which seeks to preserve the interest in the welfare of Korean War veterans and their families.,,https://kwva.us/?page=donate
Ladies Auxiliary to The Veterans of Foreign Wars of the U.S.,vfw-aux,hq,VFW-AUX,,,spanish-american-war,Spanish–American War,MO,missouri,Jackson County,jackson-county,mo_29095,St. 10th Floor Kansas,City,64111,39.0587452,-94.5985613,true,816.561.8655,info@vfwauxiliary.org,https://vfwauxiliary.org/,https://www.facebook.com/vfwauxiliary/,https://www.instagram.com/vfwauxiliaryhq/,,https://www.youtube.com/channel/ucvdxgcmqp2mv1bwoivdm1-q,https://www.linkedin.com/company/ladies-auxiliary-vfw,1914,"To serve veterans, the military, and communities through volunteer service.",,https://vfwauxiliary.org/donate
Leave No Veteran Behind,leavenoveteranbehind,hq,LEAVENOVETERANBEHIND,,,war-on-terror,War on Terror,IL,illinois,Cook County,cook-county,il_17031,"9 E. Huron Street, Suite 3E",Chicago,60611,41.8946438,-87.6276981,true,312-940-5862,,http://www.leavenoveteranbehind.org/,,,,,,2011,To prevent veteran homelessness through emergency financial assistance and create long-term stability through workforce development.,,http://www.leavenoveteranbehind.org/donate
Legion of Valor of the United States of America,legionofvalor,hq,LEGIONOFVALOR,,,spanish-american-war,Spanish–American War,VA,virginia,Fairfax County,fairfax-county,va_51059,3927 Rust Hill Place,Fairfax,22030,38.8486486,-77.3082255,true,(202) 320-3295,adjutant@legionofvalor.org,https://legionofvalor.org/,,,,,,1890,To promote patriotism and preserve the ideals of freedom represented by the nation's highest valor awards.,,https://legionofvalor.org/donate
Marine Corps Scholarship Foundation,mcsf,hq,MCSF,,,korean-war,Korean War,VA,virginia,Alexandria city,alexandria-city,va_51510,Washington Street Suite 400,Alexandria,22314,38.8103673,-77.0458419,true,703.549.0060,,https://www.mcsf.org/,https://www.facebook.com/marinescholars,https://www.instagram.com/marinescholars,,,,1962,"Today’s generation of Marines have made unprecedented sacrifices. And while there are many ways to honor our Nation’s heroes, there is no organization closer to the intersection of real need and lasting impact than the Marine Corps Scholarship Foundation.",,https://www.mcsf.org/donate
Memories of Honor,memoriesofhonor,hq,MEMORIESOFHONOR,,,war-on-terror,War on Terror,TN,tennessee,Rutherford County,rutherford-county,tn_47149,#MD365 PO BOX 98,Arrington,37014,35.8681199,-86.7091643,true,1742833055,,https://www.memoriesofhonor.org/,https://www.facebook.com/memoriesofhonor,https://www.instagram.com/memoriesofhonor,,,https://www.linkedin.com/company/memoriesofhonor,,To provide dignified funerals for homeless and indigent veterans.,,https://www.memoriesofhonor.org/donate
Merrill's Marauders Association,75thrra,hq,75THRRA,,,world-war-2,World War II,CA,california,Sacramento County,sacramento-county,ca_06067,Inc. PO Box 2200,Orangevale,95662,38.692341,-121.2282958,true,(248) 568-8232,art.attaway@75thrra.org,https://75thrra.org/merrills-marauders/,https://www.facebook.com/groups/crea8ivjr/,,,https://www.youtube.com/watch?v=nledxt1tqs4,,,What really happened,,https://75thrra.org/merrills-marauders/donate
Miles for Military,milesformilitary,hq,MILESFORMILITARY,,,war-on-terror,War on Terror,MA,massachusetts,Suffolk County,suffolk-county,ma_25025,Huntington Ave. 24th floor,Boston,2199,42.3464844,-71.0803965,true,603-456-1288,info@milesformilitary.org,https://www.milesformilitary.org/,http://facebook.com/milesformilitary,https://www.instagram.com/miles_for_military/,,https://www.youtube.com/@milesformilitary8100,,,To provide free travel to military families.,,https://www.milesformilitary.org/donate
Military Chaplains Association of the United States of America,mca-usa,hq,MCA-USA,,,world-war-1,World War I,MO,missouri,Clay County,clay-county,mo_29047,Gateway Ave. Riverside (Kansas,City),64150,39.1804857,-94.6133617,true,703-533-5890,,https://mca-usa.org/,,,,,,1925,,,https://mca-usa.org/donate
Military Child Education Coalition,mcec,hq,MCEC,,,war-on-terror,War on Terror,TX,texas,Bell County,bell-county,tx_48027,909 Mountain Lion Circle,Harker Heights,76548,31.0600752,-97.6586732,true,254-953-1923,,https://militarychild.org,https://www.facebook.com/militarychild/,https://www.instagram.com/militarychild_mcec/?hl=en,,https://www.youtube.com/@militarychild,https://www.linkedin.com/company/militarychildeducationcoalition,1998,"To ensure inclusive, quality educational opportunities for military and veteran-connected children.",,https://militarychild.org/donate
Military Children’s Charity,mcc,hq,MCC,,,war-on-terror,War on Terror,CA,california,Riverside County,riverside-county,ca_06065,"21985 Highland Street, Unit B",Wildomar,92595,33.5901129,-117.2731058,true,(703)-999-0037,,https://militarychildrenscharity.org/,,,,,,,Military Children’s Charity exists to provide gifts and recognition to the children of American service members. The United States has endured years of lengthy wars on multiple fronts. An entire generation of American military children have grown up and never known our country during a time of peace.,,https://militarychildrenscharity.org/donate
Military Order of Foreign Wars,mofwus,hq,MOFWUS,,MOFWUS,war-of-1812,War of 1812,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,"20 F Street, 7TH Floor",Washington,20001,38.8969182,-77.0100114,true,,,https://mofwus.org/,,,,,,1894,"hereditary society focused on preserving military history, promoting patriotism, and honoring service",,https://mofwus.org/donate
Military Order of the Loyal Legion of the United States,mollus,hq,MOLLUS,,mollus,civil-war,American Civil War,PA,pennsylvania,Philadelphia County,philadelphia-county,pa_42101,,Philadelphia,,,,false,,info@loyallegion.org,https://loyallegion.org/,,,,,,1865,"To bind up the nation's wounds — preserving and promoting the memory of Abraham Lincoln and the Civil War through programs, events, scholarship, and education.",,
Military Order of the Purple Heart,purpleheart,hq,PURPLEHEART,,,world-war-1,World War I,VA,virginia,Fairfax County,fairfax-county,va_51059,Us 5413-B BACKLICK RD,SPRINGFIELD,22151,38.8028937,-77.1833837,true,(703) 256-6139,communications@purpleheart.org,https://www.purpleheart.org/,https://www.facebook.com/mophusa/,https://www.instagram.com/moph_national/?utm_source=ig_embed&ig_rid=41d5b4cd-9cdf-4590-ad57-498570f5f574,,,,1932,"To foster an environment of goodwill and camaraderie among combat wounded veterans, promote patriotism, support necessary legislative initiatives, and provide service to all veterans and their families.",,https://www.purpleheart.org/donate
Military Police Regimental Association,mpraonline,hq,MPRAONLINE,,,vietnam-war,Vietnam War,MO,missouri,Pulaski County,pulaski-county,mo_29169,298 East 4th Street,Fort Leonard Wood,65473,37.7605846,-92.1214811,true,573-329-5317,,https://mpraonline.org/,,,,,,,To preserve Military Police heritage and support MP soldiers and their families.,,https://mpraonline.org/donate
Military Society of the War of 1812,msw1812,hq,MSW1812,,,war-of-1812,War of 1812,NY,new-york,New York County,new-york-county,ny_36061,54 Pearl Street,New York,10004,40.7033808,-74.0113522,true,,,https://www.militarysocietyofthewarof1812.com/,,,,,,1826,,,https://www.militarysocietyofthewarof1812.com/donate
Military Women’s Memorial & Education Center,wmsam,hq,WOMENSMEMORIAL,,WMSAM,vietnam-war,Vietnam War,VA,virginia,Arlington County,arlington-county,va_51013,"200 N. Glebe Rd, Ste 400",Arlington,22203,38.8833338,-77.0683277,true,(703) 533-1155,,https://womensmemorial.org/,https://www.facebook.com/womensmemorial,https://www.instagram.com/womensmemorial/,,https://www.youtube.com/c/militarywomensmemorial,https://www.linkedin.com/company/womensmemorial/,,"<p>The <strong>Women in Military Service for America Memorial</strong> (WMSAM), commonly known as the Women’s Memorial, is a national memorial and nonprofit organization dedicated to honoring the service, contributions, and experiences of women who have served in the United States Armed Forces. Located at the entrance to Arlington National Cemetery, the Memorial preserves the history of women’s military service and educates the public about their vital role in defending the nation.</p>",,https://womensmemorial.org/donate
Minority Veterans of America,mva,hq,MVA,,,war-on-terror,War on Terror,WA,washington,King County,king-county,wa_53033,"918 S Horton St., Ste. 924",Seattle,98134,47.5746684,-122.3205756,true,,info@minorityvets.org,https://minorityvets.org/,,,,,,2017,"To create equity for underrepresented veterans through community building, policy change, and public awareness.",,https://minorityvets.org/donate
Mission Continues,missioncontinues,hq,MISSIONCONTINUES,,,war-on-terror,War on Terror,MO,missouri,St. Louis city,st-louis-city,mo_29510,1141 South Seventh Street,Saint Louis,63104,38.6157042,-90.196702,true,(314) 588-8805,info@missioncontinues.org,https://missioncontinues.org/,,,,,,2007,"To connect veterans with under-resourced communities, empowering veterans to continue their service and empowering communities with veteran talent and leadership.",,https://missioncontinues.org/donate
Mission K9 Rescue,missionk9rescue,hq,MISSIONK9RESCUE,,,war-on-terror,War on Terror,TX,texas,Montgomery County,montgomery-county,tx_48339,"18640 FM 1488, STE A-238",Magnolia,77354,30.2124492,-95.7540516,true,713-589-9362,bark@missionk9rescue.org,https://missionk9rescue.org,,,,,,2013,"To Rescue, Reunite, Re-Home, Rehabilitate and Repair any retired working dog that has served mankind in some capacity.",,https://missionk9rescue.org/donate
Museum of the American G.I.,americangimuseum,hq,AMERICANGIMUSEUM,,,world-war-1,World War I,TX,texas,Brazos County,brazos-county,tx_48041,19124 Hwy 6,College Station,77845,30.5159247,-96.2143693,true,979-690-0501,info@americangimuseum.org,https://americangimuseum.org/,https://www.facebook.com/MuseumOfTheAmericanGI,https://www.instagram.com/museumoftheamericangi/,,https://www.youtube.com/channel/UCn296Nje3slEjLxt5Wpg9Ug,,,To preserve the history of the American G.I.,,https://americangimuseum.org/donate
National Association for Black Veterans,nabvets,hq,NABVETS,,,vietnam-war,Vietnam War,WI,wisconsin,Milwaukee County,milwaukee-county,wi_55079,P.O. Box 11432,Milwaukee,53211,43.0410344,-87.9096783,true,,,https://nabvets.com/,,,,,,1970,To advocate for and serve veterans of all ethnic backgrounds while addressing the unique issues affecting minority veterans.,,https://nabvets.com/donate
