title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,meeting_time,meeting_place
DAV Chapter 18 - The Pinkerton-Williams #18,dav-chapter-18-ga,local,Chapter 18,dav,DAV,world-war-1,World War I,GA,georgia,Richmond County,richmond-county,ga_13245,1235 15th St,Augusta,30901,33.4756761,-82.0224542,true,706-793-1394,,http://www.davmembersportal.org/chapters/GA/18,,,,,,18,"4th Saturday, 10:00 AM","1235 15th St, Augusta, GA 30901"
DAV Chapter 27 - Dick M Lynch #27,dav-chapter-27-ga,local,Chapter 27,dav,DAV,world-war-1,World War I,GA,georgia,Lee County,lee-county,ga_13177,315 Philema Rd,Albany,31701,31.6238722,-84.1281041,true,229-449-6255,,http://www.davmembersportal.org/chapters/GA/27,,,,,,27,"3rd Thursday, 7:00 PM","315 Philema Rd, Albany, GA 31701"
DAV Chapter 28 - Fannin #28,dav-chapter-28-ga,local,Chapter 28,dav,DAV,world-war-1,World War I,GA,georgia,Union County,union-county,ga_13291,4584 Old Hwy 76,Blue Ridge,30513,,,false,706-632-3544,,http://www.davmembersportal.org/chapters/GA/28,,,,,,28,"2nd Thursday, 7:00 PM","4584 Old Hwy 76, Blue Ridge, GA 30513"
DAV Chapter 31 - Gus Valeri Mem #31,dav-chapter-31-ga,local,Chapter 31,dav,DAV,world-war-1,World War I,GA,georgia,Troup County,troup-county,ga_13285,140 Ragland St,LaGrange,30240,,,false,706-604-5231,,http://www.davmembersportal.org/chapters/GA/31,,,,,,31,"2nd Tuesday, 5:30 PM","140 Ragland St, LaGrange, GA 30240"
DAV Chapter 33 - Donald A Moody #33,dav-chapter-33-ga,local,Chapter 33,dav,DAV,world-war-1,World War I,GA,georgia,Houston County,houston-county,ga_13153,1343 Radio Loop Dr,Warner Robins,31088,32.6177206,-83.6507535,true,478-322-2211,,http://www.davmembersportal.org/chapters/GA/33,,,,,,33,"2nd Monday, 7:00 PM","1343 Radio Loop Dr, Warner Robins, GA 31088"
DAV Chapter 36 - Golden Isles #36,dav-chapter-36-ga,local,Chapter 36,dav,DAV,world-war-1,World War I,GA,georgia,Glynn County,glynn-county,ga_13127,1 Community Dr,Brunswick,31520,31.2131026,-81.4915671,true,912-267-3681,,http://www.davmembersportal.org/chapters/GA/36,,,,,,36,"4th Tuesday, 7:00 PM","1 Community Dr, Brunswick, GA 31520"
DAV Chapter 46 - Hinesville #46,dav-chapter-46-ga,local,Chapter 46,dav,DAV,world-war-1,World War I,GA,georgia,Long County,long-county,ga_13183,1113 East Oglethorpe Hwy,Hinesville,31313,31.8536547,-81.57579779999999,true,912-368-2546,,http://www.davmembersportal.org/chapters/GA/46,,,,,,46,"3rd Monday, 7:00 PM","1113 East Oglethorpe Hwy, Hinesville, GA 31313"
DAV Chapter 47 - Pickens County #47,dav-chapter-47-ga,local,Chapter 47,dav,DAV,world-war-1,World War I,GA,georgia,Pickens County,pickens-county,ga_13227,339 W Church St,Jasper,30143,34.474464,-84.42142299999999,true,770-926-5466,,http://www.davmembersportal.org/chapters/GA/47,,,,,,47,"3rd Thursday, 7:00 PM","339 W Church St, Jasper, GA 30143"
DAV Chapter 50 - Ray Williams #50,dav-chapter-50-ga,local,Chapter 50,dav,DAV,world-war-1,World War I,GA,georgia,Bibb County,bibb-county,ga_13021,4493 Houston Ave,Macon,31206,,,false,478-318-1538,,http://www.davmembersportal.org/chapters/GA/50,,,,,,50,"3rd Sunday, 7:00 PM","4493 Houston Ave, Macon, GA 31206"
DAV Chapter 55 - Newton-Rockdale #55,dav-chapter-55-ga,local,Chapter 55,dav,DAV,world-war-1,World War I,GA,georgia,Walton County,walton-county,ga_13297,2157 Ivy St,Covington,30014,33.5967815,-83.8601827,true,770-385-1498,,http://www.davmembersportal.org/chapters/GA/55,,,,,,55,"2nd Saturday, 2:00 PM","2157 Ivy St, Covington, GA 30014"
DAV Chapter 90 - Gwinnett County #90,dav-chapter-90-ga,local,Chapter 90,dav,DAV,world-war-1,World War I,GA,georgia,Gwinnett County,gwinnett-county,ga_13135,567 Swanson Dr,Lawrenceville,30046,,,false,770-256-8800,,http://www.davmembersportal.org/chapters/GA/90,,,,,,90,"2nd Saturday, 9:30 AM","567 Swanson Dr, Lawrenceville, GA 30046"
DAV Chapter 91 - Decatur #91,dav-chapter-91-ga,local,Chapter 91,dav,DAV,world-war-1,World War I,GA,georgia,Dekalb County,dekalb-county,ga_13089,5362 Covington Hwy,Decatur,30035,33.71412979999999,-84.16388859999999,true,404-425-2042,,http://www.davmembersportal.org/chapters/GA/91,,,,,,91,"3rd Wednesday, 7:00 PM","5362 Covington Hwy, Decatur, GA 30035"
DAV Chapter 92 - Harold L Huff Jr #92,dav-chapter-92-ga,local,Chapter 92,dav,DAV,world-war-1,World War I,GA,georgia,Oconee County,oconee-county,ga_13219,3500A Hog Mountain Rd,Watkinsville,30677,,,false,706-367-4723,,http://www.davmembersportal.org/chapters/GA/92,,,,,,92,"1st Tuesday, 7:00 pm","3500A Hog Mountain Rd, Watkinsville, GA 30677"
DAV Chapter 95 - Floyd County #95,dav-chapter-95-ga,local,Chapter 95,dav,DAV,world-war-1,World War I,GA,georgia,Floyd County,floyd-county,ga_13115,2632 Cedartown Hwy SW,Rome,30161,34.1865552,-85.2041157,true,334-208-2736,,http://www.davmembersportal.org/chapters/GA/95,,,,,,95,"4th Monday, 6:00 PM","2632 Cedartown Hwy SW, Rome, GA 30161"
DAV Chapter 1 - Oahu #1,dav-chapter-1-hi,local,Chapter 1,dav,DAV,world-war-1,World War I,HI,hawaii,Honolulu County,honolulu-county,hi_15003,2685 N Nimitz Hwy,Honolulu,96819,21.3323676,-157.8946102,true,808-228-7334,,http://www.davmembersportal.org/chapters/HI/01,,,,,,1,"3rd Saturday, 11:00 AM","2685 N Nimitz Hwy, Honolulu, HI 96819"
DAV Chapter 4 - Wahiawa #4,dav-chapter-4-hi,local,Chapter 4,dav,DAV,world-war-1,World War I,HI,hawaii,Honolulu County,honolulu-county,hi_15003,1375 California Ave,Wahiawa,96786,,,false,808-623-8884,,http://www.davmembersportal.org/chapters/HI/04,,,,,,4,"3rd Tuesday, 7:00 PM","1375 California Ave, Wahiawa, HI 96786"
DAV Chapter 5 - Kauai #5,dav-chapter-5-hi,local,Chapter 5,dav,DAV,world-war-1,World War I,HI,hawaii,Kauai County,kauai-county,hi_15007,3215 Kapule Veterans Memorial Highway,Lihue,96766,,,false,808-755-5667,,http://www.davmembersportal.org/chapters/HI/05,,,,,,5,"3rd Thursday, 5:00 PM","3215 Kapule Veterans Memorial Highway, Lihue, HI 96766"
DAV Chapter 6 - Hilo #6,dav-chapter-6-hi,local,Chapter 6,dav,DAV,world-war-1,World War I,HI,hawaii,Hawaii County,hawaii-county,hi_15001,127 Kamana St,Hilo,96720,19.7093254,-155.0788038,true,808-959-6449,,http://www.davmembersportal.org/chapters/HI/06,,,,,,6,"2nd Saturday, 11:00 AM","127 Kamana St, Hilo, HI 96720"
DAV Chapter 7 - Kona #7,dav-chapter-7-hi,local,Chapter 7,dav,DAV,world-war-1,World War I,HI,hawaii,Hawaii County,hawaii-county,hi_15001,75-1027 Henry St,Kailua-Kona,96740,19.4891247,-155.9109232,true,808-345-5102,,http://www.davmembersportal.org/chapters/HI/07,,,,,,7,"1st Wednesday, 7:00 PM","75-1027 Henry St, Kailua-Kona, HI 96740"
DAV Chapter 1 - Wapello #1,dav-chapter-1-ia,local,Chapter 1,dav,DAV,world-war-1,World War I,IA,iowa,Wapello County,wapello-county,ia_19179,550 W Main St,Ottumwa,52501,41.0065765,-92.39577480000001,true,641-684-6373,,http://www.davmembersportal.org/chapters/IA/01,,,,,,1,"3rd Sunday, 5:00 PM","550 W Main St, Ottumwa, IA 52501"
DAV Chapter 2 - Quad-Cities #2,dav-chapter-2-ia,local,Chapter 2,dav,DAV,world-war-1,World War I,IA,iowa,Scott County,scott-county,ia_19163,702 W 35th St,Davenport,52804,41.5505068,-90.6179114,true,563-386-3533,,http://www.davmembersportal.org/chapters/IA/02,,,,,,2,"2nd Thursday, 7:00 PM","702 W 35th St, Davenport, IA 52804"
DAV Chapter 4 - Burlington #4,dav-chapter-4-ia,local,Chapter 4,dav,DAV,world-war-1,World War I,IA,iowa,Des Moines County,des-moines-county,ia_19057,2727 Mt Pleasant St,Burlington,52601,40.824488,-91.1373593,true,319-753-6692,,http://www.davmembersportal.org/chapters/IA/04,,,,,,4,"1st Monday, 7:00 PM","2727 Mt Pleasant St, Burlington, IA 52601"
DAV Chapter 5 - Col Don Macrae #5,dav-chapter-5-ia,local,Chapter 5,dav,DAV,world-war-1,World War I,IA,iowa,Pottawattamie County,pottawattamie-county,ia_19155,716 4th St,Council Bluffs,51503,,,false,402-740-3619,,http://www.davmembersportal.org/chapters/IA/05,,,,,,5,"1st Tuesday, 6:30 PM","716 4th St, Council Bluffs, IA 51503"
DAV Chapter 6 - Fighting Back #6,dav-chapter-6-ia,local,Chapter 6,dav,DAV,world-war-1,World War I,IA,iowa,Dubuque County,dubuque-county,ia_19061,2245 Kerper Blvd Ste 1,Dubuque,52001,42.5202703,-90.655519,true,563-845-0034,,http://www.davmembersportal.org/chapters/IA/06,,,,,,6,"1st Thursday, 6:00 PM","2245 Kerper Blvd Ste 1, Dubuque, IA 52001"
DAV Chapter 8 - Hamre Giesen #8,dav-chapter-8-ia,local,Chapter 8,dav,DAV,world-war-1,World War I,IA,iowa,Winneshiek County,winneshiek-county,ia_19191,1350 9th St SW,Waukon,52172,,,false,563-538-4036,,http://www.davmembersportal.org/chapters/IA/08,,,,,,8,"3rd Wednesday, 11:00 AM","1350 9th St SW, Waukon, IA 52172"
DAV Chapter 11 - King Marson #11,dav-chapter-11-ia,local,Chapter 11,dav,DAV,world-war-1,World War I,IA,iowa,Black Hawk County,black-hawk-county,ia_19013,1915 Courbat Court,Waterloo,50701,,,false,319-270-7648,,http://www.davmembersportal.org/chapters/IA/11,,,,,,11,"4th Thursday, 7:00 PM","1915 Courbat Court, Waterloo, IA 50701"
DAV Chapter 20 - Des Moines #20,dav-chapter-20-ia,local,Chapter 20,dav,DAV,world-war-1,World War I,IA,iowa,Polk County,polk-county,ia_19153,2627 E University Ave,Des Moines,50317,41.6515599,-93.59952349999999,true,515-229-8943,,http://www.davmembersportal.org/chapters/IA/20,,,,,,20,"3rd Monday, 7:00 PM","2627 E University Ave, Des Moines, IA 50317"
DAV Chapter 29 - Webster County #29,dav-chapter-29-ia,local,Chapter 29,dav,DAV,world-war-1,World War I,IA,iowa,Webster County,webster-county,ia_19187,2835 5th Ave South,Fort Dodge,50501,,,false,515-570-0173,,http://www.davmembersportal.org/chapters/IA/29,,,,,,29,"4th Tuesday, 6:30 PM","2835 5th Ave South, Fort Dodge, IA 50501"
DAV Chapter 53 - Bus-Prof #53,dav-chapter-53-ia,local,Chapter 53,dav,DAV,world-war-1,World War I,IA,iowa,Polk County,polk-county,ia_19153,1050 6th Ave,Des Moines,50314,41.596618,-93.6263208,true,515-520-5985,,http://www.davmembersportal.org/chapters/IA/53,,,,,,53,"2nd Thursday, 12:00 PM","1050 6th Ave, Des Moines, IA 50314"
DAV Chapter 1 - Carrie L French #1,dav-chapter-1-id,local,Chapter 1,dav,DAV,world-war-1,World War I,ID,idaho,Canyon County,canyon-county,id_16027,1101 Cleveland Blvd,Caldwell,83605,,,false,208-859-1999,,http://www.davmembersportal.org/chapters/ID/01,,,,,,1,"2nd Tuesday, 7:00 PM","1101 Cleveland Blvd, Caldwell, ID 83605"
DAV Chapter 2 - Boise #2,dav-chapter-2-id,local,Chapter 2,dav,DAV,world-war-1,World War I,ID,idaho,Boise County,boise-county,id_16015,500 W Fort St.  Bldg #54,Boise,83702,43.6208451,-116.190599,true,208-971-0625,,http://www.davmembersportal.org/chapters/ID/02,,,,,,2,"3rd Saturday, 12:00 PM","500 W Fort St.  Bldg #54, Boise, ID 83702"
DAV Chapter 3 - Pocatello #3,dav-chapter-3-id,local,Chapter 3,dav,DAV,world-war-1,World War I,ID,idaho,Power County,power-county,id_16077,300 N Johnson Ave,Pocatello,83204,,,false,208-251-3960,,http://www.davmembersportal.org/chapters/ID/03,,,,,,3,"4th Thursday, 7:00 PM","300 N Johnson Ave, Pocatello, ID 83204"
DAV Chapter 5 - Stradley #5,dav-chapter-5-id,local,Chapter 5,dav,DAV,world-war-1,World War I,ID,idaho,Twin Falls County,twin-falls-county,id_16083,650 Addison Vet West STE 203,Twin Falls,83301,,,false,208-731-2531,,http://www.davmembersportal.org/chapters/ID/05,,,,,,5,"1st Monday, 7:00 PM","650 Addison Vet West STE 203, Twin Falls, ID 83301"
DAV Chapter 6 - Yellowstone #6,dav-chapter-6-id,local,Chapter 6,dav,DAV,world-war-1,World War I,ID,idaho,Jefferson County,jefferson-county,id_16051,1575 N Skyline Dr,Idaho Falls,83402,43.5100358,-112.0636894,true,208-569-0945,,http://www.davmembersportal.org/chapters/ID/06,,,,,,6,"2nd Tuesday, 7:00 PM","1575 N Skyline Dr, Idaho Falls, ID 83402"
DAV Chapter 9 - Fort Sherman #9,dav-chapter-9-id,local,Chapter 9,dav,DAV,world-war-1,World War I,ID,idaho,Kootenai County,kootenai-county,id_16055,5453 E. Seltice Way,Post Falls,83854,,,false,208-773-1074,,http://www.davmembersportal.org/chapters/ID/09,,,,,,9,"5th Tuesday, 6:00 pm","5453 E. Seltice Way, Post Falls, ID 83854"
DAV Chapter 10 - Mini Cassia #10,dav-chapter-10-id,local,Chapter 10,dav,DAV,world-war-1,World War I,ID,idaho,Minidoka County,minidoka-county,id_16067,12th and D Street,Rupert,83350,42.6235831,-113.6728401,true,208-650-8429,,http://www.davmembersportal.org/chapters/ID/10,,,,,,10,"3rd Tuesday, 7:00 PM","12th and D Street, Rupert, ID 83350"
DAV Chapter 13 - Nampa #13,dav-chapter-13-id,local,Chapter 13,dav,DAV,world-war-1,World War I,ID,idaho,Canyon County,canyon-county,id_16027,619 12th Ave S,Nampa,83651,,,false,208-559-2181,,http://www.davmembersportal.org/chapters/ID/13,,,,,,13,"3rd Thursday, 7:00 PM","619 12th Ave S, Nampa, ID 83651"
DAV Chapter 17 - Jim Mc Namar #17,dav-chapter-17-id,local,Chapter 17,dav,DAV,world-war-1,World War I,ID,idaho,Elmore County,elmore-county,id_16039,515 2nd St,Mountain Home,83647,,,false,757-232-5877,,http://www.davmembersportal.org/chapters/ID/17,,,,,,17,"1st Thursday, 7:00 PM","515 2nd St, Mountain Home, ID 83647"
DAV Chapter 18 - Lewiston #18,dav-chapter-18-id,local,Chapter 18,dav,DAV,world-war-1,World War I,ID,idaho,Nez Perce County,nez-perce-county,id_16069,920 Bryden Ave #114,Lewiston,83501,,,false,208-553-6523,,http://www.davmembersportal.org/chapters/ID/18,,,,,,18,"3rd Thursday, 7:00 PM","920 Bryden Ave #114, Lewiston, ID 83501"
DAV Chapter 22 - Albert W Jardine #22,dav-chapter-22-id,local,Chapter 22,dav,DAV,world-war-1,World War I,ID,idaho,Ada County,ada-county,id_16001,8460 W Emerald St,Boise,83704,43.62104799999999,-116.1897679,true,208-559-0779,,http://www.davmembersportal.org/chapters/ID/22,,,,,,22,"2nd Wednesday, 7:00 PM","8460 W Emerald St, Boise, ID 83704"
DAV Chapter 23 - Payette County #23,dav-chapter-23-id,local,Chapter 23,dav,DAV,world-war-1,World War I,ID,idaho,Payette County,payette-county,id_16075,114 N Plymouth Ave,New Plymouth,83655,,,false,541-216-8569,,http://www.davmembersportal.org/chapters/ID/23,,,,,,23,"2nd Monday, 7:00 PM","114 N Plymouth Ave, New Plymouth, ID 83655"
DAV Chapter 28 - Bonners Ferry #28,dav-chapter-28-id,local,Chapter 28,dav,DAV,world-war-1,World War I,ID,idaho,Bonner County,bonner-county,id_16017,1325 Pine St,Sandpoint,83864,48.6854693,-116.3191121,true,208-267-3510,,http://www.davmembersportal.org/chapters/ID/28,,,,,,28,"3rd Thursday, 12:00 PM","1325 Pine St, Sandpoint, ID 83864"
DAV Chapter 1 - Heart Of Illinois #1,dav-chapter-1-il,local,Chapter 1,dav,DAV,world-war-1,World War I,IL,illinois,Peoria County,peoria-county,il_17143,110 E McClure,Peoria,61603,,,false,309-678-8890,,http://www.davmembersportal.org/chapters/IL/01,,,,,,1,"1st Wednesday, 6:00 PM","110 E McClure, Peoria, IL 61603"
DAV Chapter 5 - Dupage Veterans #5,dav-chapter-5-il,local,Chapter 5,dav,DAV,world-war-1,World War I,IL,illinois,Dupage County,dupage-county,il_17043,310 W Butterfield Rd,Elmhurst,60126,,,false,630-530-7786,,http://www.davmembersportal.org/chapters/IL/05,,,,,,5,"4th Monday, 7:30 PM","310 W Butterfield Rd, Elmhurst, IL 60126"
DAV Chapter 6 - J H Patton #6,dav-chapter-6-il,local,Chapter 6,dav,DAV,world-war-1,World War I,IL,illinois,Cook County,cook-county,il_17031,809 East 42nd Place,Chicago,60616,41.7179751,-87.60943879999999,true,773-551-9574,,http://www.davmembersportal.org/chapters/IL/06,,,,,,6,"2nd Tuesday, 7:00 PM","809 East 42nd Place, Chicago, IL 60616"
DAV Chapter 7 - Effingham Co #7,dav-chapter-7-il,local,Chapter 7,dav,DAV,world-war-1,World War I,IL,illinois,Effingham County,effingham-county,il_17049,405 Vulcan Dr,Effingham,62401,,,false,217-347-0551,,http://www.davmembersportal.org/chapters/IL/07,,,,,,7,"3rd Tuesday, 7:00 PM","405 Vulcan Dr, Effingham, IL 62401"
DAV Chapter 17 - Decatur Macon Co #17,dav-chapter-17-il,local,Chapter 17,dav,DAV,world-war-1,World War I,IL,illinois,Macon County,macon-county,il_17115,1700 N Lake Shore Dr,Decatur,62526,,,false,217-428-7867,,http://www.davmembersportal.org/chapters/IL/17,,,,,,17,"3rd Wednesday, 6:00 PM","1700 N Lake Shore Dr, Decatur, IL 62526"
DAV Chapter 24 - Forget Me Not #24,dav-chapter-24-il,local,Chapter 24,dav,DAV,world-war-1,World War I,IL,illinois,St. Clair County,st-clair-county,il_17163,300 N Charles St,Belleville,62220,38.544687,-90.0296612,true,618-398-3450,,http://www.davmembersportal.org/chapters/IL/24,,,,,,24,"1st Wednesday, 6:30 PM","300 N Charles St, Belleville, IL 62220"
DAV Chapter 28 - Vets Memorial #28,dav-chapter-28-il,local,Chapter 28,dav,DAV,world-war-1,World War I,IL,illinois,Jefferson County,jefferson-county,il_17081,800 S 27th St,Mount Vernon,62864,38.3090132,-88.9232064,true,618-472-2998,,http://www.davmembersportal.org/chapters/IL/28,,,,,,28,"2nd Tuesday, 7:00 PM","800 S 27th St, Mount Vernon, IL 62864"
DAV Chapter 29 - Black Hawk Life #29,dav-chapter-29-il,local,Chapter 29,dav,DAV,world-war-1,World War I,IL,illinois,Winnebago County,winnebago-county,il_17201,211 N Main St,Rockford,61101,,,false,815-519-6050,,http://www.davmembersportal.org/chapters/IL/29,,,,,,29,"1st Tuesday, 2:00 pm","211 N Main St, Rockford, IL 61101"
DAV Chapter 32 - Quincy Adams Co #32,dav-chapter-32-il,local,Chapter 32,dav,DAV,world-war-1,World War I,IL,illinois,Adams County,adams-county,il_17001,1707 North 12th St,Quincy,62301,39.9539598,-91.4018719,true,217-233-6189,,http://www.davmembersportal.org/chapters/IL/32,,,,,,32,"1st Thursday, 6:00 PM","1707 North 12th St, Quincy, IL 62301"
DAV Chapter 33 - Verdun #33,dav-chapter-33-il,local,Chapter 33,dav,DAV,world-war-1,World War I,IL,illinois,Cook County,cook-county,il_17031,7640 Jackson Blvd,Forest Park,60130,41.875451,-87.8155201,true,708-786-7729,,http://www.davmembersportal.org/chapters/IL/33,,,,,,33,"3rd Thursday, 7:00 PM","7640 Jackson Blvd, Forest Park, IL 60130"
DAV Chapter 34 - Kankakee County #34,dav-chapter-34-il,local,Chapter 34,dav,DAV,world-war-1,World War I,IL,illinois,Kankakee County,kankakee-county,il_17091,700 Main St NW,Bourbonnais,60914,41.15920819999999,-87.8880879,true,815-263-2027,,http://www.davmembersportal.org/chapters/IL/34,,,,,,34,"3rd Thursday, 7:00 PM","700 Main St NW, Bourbonnais, IL 60914"
DAV Chapter 36 - Wht Eagle-Lgn Sq #36,dav-chapter-36-il,local,Chapter 36,dav,DAV,world-war-1,World War I,IL,illinois,Cook County,cook-county,il_17031,7255 N Caldwell,Niles,60714,42.0054956,-87.7945771,true,708-774-1578,,http://www.davmembersportal.org/chapters/IL/36,,,,,,36,"3rd Wednesday, 7:00 PM","7255 N Caldwell, Niles, IL 60714"
DAV Chapter 42 - John Hannan #42,dav-chapter-42-il,local,Chapter 42,dav,DAV,world-war-1,World War I,IL,illinois,Dupage County,dupage-county,il_17043,446 W Lake St,Addison,60101,41.9379163,-88.0003115,true,630-628-9804,,http://www.davmembersportal.org/chapters/IL/42,,,,,,42,"3rd Thursday, 7:00 PM","446 W Lake St, Addison, IL 60101"
DAV Chapter 47 - D Monico Bus-Pro #47,dav-chapter-47-il,local,Chapter 47,dav,DAV,world-war-1,World War I,IL,illinois,Cook County,cook-county,il_17031,3271 S Harlem Ave,Berwyn,60402,,,false,708-868-6928,,http://www.davmembersportal.org/chapters/IL/47,,,,,,47,"3rd Wednesday, 11:30 AM","3271 S Harlem Ave, Berwyn, IL 60402"
DAV Chapter 51 - Franklin Co #51,dav-chapter-51-il,local,Chapter 51,dav,DAV,world-war-1,World War I,IL,illinois,Franklin County,franklin-county,il_17055,104 E Market St,Christopher,62822,,,false,618-944-0904,,http://www.davmembersportal.org/chapters/IL/51,,,,,,51,"4th Thursday, 6:30 PM","104 E Market St, Christopher, IL 62822"
DAV Chapter 53 - Quad City #53,dav-chapter-53-il,local,Chapter 53,dav,DAV,world-war-1,World War I,IL,illinois,Madison County,madison-county,il_17119,3400 Century Dr,Granite City,62040,,,false,618-876-7816,,http://www.davmembersportal.org/chapters/IL/53,,,,,,53,"3rd Monday, 7:00 PM","3400 Century Dr, Granite City, IL 62040"
DAV Chapter 60 - Mc Lean County #60,dav-chapter-60-il,local,Chapter 60,dav,DAV,world-war-1,World War I,IL,illinois,Mclean County,mclean-county,il_17113,1006 E Lincoln St,Bloomington,61701,40.450919,-89.0273982,true,309-318-1076,,http://www.davmembersportal.org/chapters/IL/60,,,,,,60,"4th Wednesday, 5:30 PM","1006 E Lincoln St, Bloomington, IL 61701"
DAV Chapter 69 - Jackson County #69,dav-chapter-69-il,local,Chapter 69,dav,DAV,world-war-1,World War I,IL,illinois,Jackson County,jackson-county,il_17077,1410 Walnut St,Murphysboro,62966,37.7647234,-89.3385181,true,618-893-2748,,http://www.davmembersportal.org/chapters/IL/69,,,,,,69,"3rd Thursday, 7:00 PM","1410 Walnut St, Murphysboro, IL 62966"
DAV Chapter 76 - Egyptian Gateway #76,dav-chapter-76-il,local,Chapter 76,dav,DAV,world-war-1,World War I,IL,illinois,Washington County,washington-county,il_17189,521 N Hickory St,Centralia,62801,,,false,618-545-3558,,http://www.davmembersportal.org/chapters/IL/76,,,,,,76,"4th Monday, 5:30 PM","521 N Hickory St, Centralia, IL 62801"
DAV Chapter 80 - Bean Capitol #80,dav-chapter-80-il,local,Chapter 80,dav,DAV,world-war-1,World War I,IL,illinois,Wayne County,wayne-county,il_17191,201 E Court st,Fairfield,62837,,,false,618-302-1609,,http://www.davmembersportal.org/chapters/IL/80,,,,,,80,"2nd Thursday, 7:00 PM","201 E Court st, Fairfield, IL 62837"
DAV Chapter 84 - A G Tricentennial #84,dav-chapter-84-il,local,Chapter 84,dav,DAV,world-war-1,World War I,IL,illinois,Cook County,cook-county,il_17031,4428 Midlothian Turnpike,Crestwood,60418,41.71915389999999,-87.75082479999999,true,773-586-8259,,http://www.davmembersportal.org/chapters/IL/84,,,,,,84,"1st Friday, 7:30 PM","4428 Midlothian Turnpike, Crestwood, IL 60418"
DAV Chapter 86 - Chief Shabbona #86,dav-chapter-86-il,local,Chapter 86,dav,DAV,world-war-1,World War I,IL,illinois,Kendall County,kendall-county,il_17093,212 W Washington St,Morris,60450,,,false,815-942-5766,,http://www.davmembersportal.org/chapters/IL/86,,,,,,86,"3rd Wednesday, 7:00 PM","212 W Washington St, Morris, IL 60450"
DAV Chapter 90 - Jack Graichen Mem #90,dav-chapter-90-il,local,Chapter 90,dav,DAV,world-war-1,World War I,IL,illinois,Madison County,madison-county,il_17119,190 N Main St,Glen Carbon,62034,38.7488025,-89.98265099999999,true,618-288-5442,,http://www.davmembersportal.org/chapters/IL/90,,,,,,90,"1st Thursday, 7:00 PM","190 N Main St, Glen Carbon, IL 62034"
DAV Chapter 103 - Will County #103,dav-chapter-103-il,local,Chapter 103,dav,DAV,world-war-1,World War I,IL,illinois,Will County,will-county,il_17197,323 Old Hickory Rd,New Lenox,60451,41.519531,-87.9769622,true,815-726-8084,,http://www.davmembersportal.org/chapters/IL/103,,,,,,103,"5th Wednesday, 7:30 PM","323 Old Hickory Rd, New Lenox, IL 60451"
DAV Chapter 2 - Lt Col C Bailey #2,dav-chapter-2-in,local,Chapter 2,dav,DAV,world-war-1,World War I,IN,indiana,Monroe County,monroe-county,in_18105,1414 Bundy Ln,Bedford,47421,,,false,812-278-9004,,http://www.davmembersportal.org/chapters/IN/02,,,,,,2,"3rd Thursday, 6:00 PM","1414 Bundy Ln, Bedford, IN 47421"
DAV Chapter 3 - Dr Worthington #3,dav-chapter-3-in,local,Chapter 3,dav,DAV,world-war-1,World War I,IN,indiana,Marion County,marion-county,in_18097,40 E St Clair St,Indianapolis,46204,39.76909,-86.158018,true,317-916-3615,,http://www.davmembersportal.org/chapters/IN/03,,,,,,3,"1st Monday, 6:00 PM","40 E St Clair St, Indianapolis, IN 46204"
DAV Chapter 5 - Frank H Dailey #5,dav-chapter-5-in,local,Chapter 5,dav,DAV,world-war-1,World War I,IN,indiana,Grant County,grant-county,in_18053,600 S Washington St,Marion,46953,40.5234374,-85.6298836,true,765-667-0346,,http://www.davmembersportal.org/chapters/IN/05,,,,,,5,"1st Monday, 1:00 PM","600 S Washington St, Marion, IN 46953"
DAV Chapter 7 - James B Gresham #7,dav-chapter-7-in,local,Chapter 7,dav,DAV,world-war-1,World War I,IN,indiana,Vanderburgh County,vanderburgh-county,in_18163,201 NW 4th St STE 106,Evansville,47708,,,false,812-204-6880,,http://www.davmembersportal.org/chapters/IN/07,,,,,,7,"1st Tuesday, 6:30 PM","201 NW 4th St STE 106, Evansville, IN 47708"
DAV Chapter 9 - Leon Von Schepper #9,dav-chapter-9-in,local,Chapter 9,dav,DAV,world-war-1,World War I,IN,indiana,Vigo County,vigo-county,in_18167,10 W Johnson Ave,Terre Haute,47802,,,false,812-229-5168,,http://www.davmembersportal.org/chapters/IN/09,,,,,,9,"3rd Monday, 7:00 PM","10 W Johnson Ave, Terre Haute, IN 47802"
DAV Chapter 10 - Vincennes #10,dav-chapter-10-in,local,Chapter 10,dav,DAV,world-war-1,World War I,IN,indiana,Knox County,knox-county,in_18083,904 S 17th St,Vincennes,47591,,,false,812-324-2124,,http://www.davmembersportal.org/chapters/IN/10,,,,,,10,"2nd Monday, 7:00 PM","904 S 17th St, Vincennes, IN 47591"
DAV Chapter 12 - Anderson #12,dav-chapter-12-in,local,Chapter 12,dav,DAV,world-war-1,World War I,IN,indiana,Madison County,madison-county,in_18095,630 Nichol Ave,Anderson,46016,,,false,765-639-5458,,http://www.davmembersportal.org/chapters/IN/12,,,,,,12,"2nd Thursday, 5:30 pm","630 Nichol Ave, Anderson, IN 46016"
