title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,hall_rental,club_room,voice_of_democracy,boy_scouts,funeral_honors,patriots_pen,vfw_riders_group
VFW Post 755,vfw-post-755-il,local,Post 755,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Sangamon County,sangamon-county,il_17167,2211 Old Jacksonville Rd,Springfield,62704,39.7875368,-89.6935693,true,(217) 546-9515,,,,,,,,755,,true,true,false,true,true,true
VFW Post 777,vfw-post-777-il,local,Post 777,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Sangamon County,sangamon-county,il_17167,106 E Cooke St,Mount Pulaski,62548,40.0084947,-89.2849676,true,(217) 792-5218,,,,,,,,777,,false,false,false,false,false,false
VFW Post 805,vfw-post-805-il,local,Post 805,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,St. Clair County,st-clair-county,il_17163,221 W 1St St,O Fallon,62269,38.5916485,-89.9128228,true,(618) 624-2651,,,,,,,,805,,true,true,false,true,true,false
VFW Post 814,vfw-post-814-il,local,Post 814,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Peoria County,peoria-county,il_17143,1014 W Pioneer Pkwy,Peoria,61615,40.7832554,-89.6080714,true,(309) 692-1014,,,,,,,,814,,false,false,false,false,false,false
TROY VFW POST 976,vfw-post-976-il,local,Post 976,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,St. Clair County,st-clair-county,il_17163,123 E Market St Ste. A,Troy,62294,38.4682278,-90.0682835,true,(618) 667-8387,,,,,,,,976,,true,true,false,true,true,false
VFW Post 1117,vfw-post-1117-il,local,Post 1117,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,St. Clair County,st-clair-county,il_17163,415 N Long St,Caseyville,62232,38.6411019,-90.0220664,true,(618) 344-9878,,,,,,,,1117,,true,true,false,false,true,false
MONTCLARE LEYDEN VFW POST 1284,vfw-post-1284-il,local,Post 1284,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Cook County,cook-county,il_17031,6940 W Diversey Ave,Chicago,60707,41.9310509,-87.7995159,true,(773) 385-8269,,,,,,,,1284,,false,true,false,false,true,false
VFW POST 1299,vfw-post-1299-il,local,Post 1299,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Madison County,madison-county,il_17119,7108 Marine Rd,Edwardsville,62025,38.8098644,-89.932275,true,(618) 692-1299,,,,,,,,1299,,false,false,false,true,true,false
VFW POST 1303,vfw-post-1303-il,local,Post 1303,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Rock Island County,rock-island-county,il_17161,3715 9Th St,Rock Island,61201,41.4740841,-90.5868588,true,(309) 786-6798,,,,,,,,1303,,false,false,false,false,false,false
VFW Post 1308,vfw-post-1308-il,local,Post 1308,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Madison County,madison-county,il_17119,4445 Alby St,Alton,62002,38.9217826,-90.1792206,true,(618) 466-6883,,,,,,,,1308,,true,true,false,true,true,false
VFW Post 1379,vfw-post-1379-il,local,Post 1379,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Scott County,scott-county,il_17171,903 E Morton Ave,Jacksonville,62650,39.723144,-90.2182092,true,(217) 243-6814,,,,,,,,1379,,true,false,false,true,false,false
SANDWICH VFW POST 1486,vfw-post-1486-il,local,Post 1486,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,LaSalle County,lasalle-county,il_17099,713 S Main St,Sandwich,60548,41.6394264,-88.6217557,true,(815) 786-1486,,,,,,,,1486,,true,true,false,false,true,false
VFW Post 1559,vfw-post-1559-il,local,Post 1559,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,McLean County,mclean-county,il_17113,201 W Main St,Heyworth,61745,40.314159,-88.979395,true,(309) 473-2460,,,,,,,,1559,,false,false,false,false,true,false
VFW POST 1571,vfw-post-1571-il,local,Post 1571,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Mercer County,mercer-county,il_17131,106 Sw 3Rd Ave,Aledo,61231,41.2015585,-90.7515077,true,(309) 582-7055,,,,,,,,1571,,true,false,false,true,false,false
VFW Post 1699,vfw-post-1699-il,local,Post 1699,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,St. Clair County,st-clair-county,il_17163,621 Water St,Cahokia,62206,38.565277,-90.1940693,true,(618) 337-6634,,,,,,,,1699,,false,false,false,false,false,false
VFW Post 1739,vfw-post-1739-il,local,Post 1739,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,St. Clair County,st-clair-county,il_17163,423 S Illinois St,Belleville,62220,38.5094861,-89.984289,true,(618) 233-1098,,,,,,,,1739,,false,true,false,false,true,false
VFW Post 1756,vfw-post-1756-il,local,Post 1756,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Logan County,logan-county,il_17107,915 5Th St,Lincoln,62656,40.1468301,-89.3800963,true,(217) 735-1756,,,,,,,,1756,,false,true,false,true,true,false
VFW POST NO 1903,vfw-post-1903-il,local,Post 1903,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Iroquois County,iroquois-county,il_17075,127 N Chestnut St,Onarga,60955,40.7153882,-88.0072021,true,(815) 268-7808,,,,,,,,1903,,false,false,false,false,false,false
VFW Post 2024,vfw-post-2024-il,local,Post 2024,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Cook County,cook-county,il_17031,742 E 75Th St,Chicago,60619,41.7588175,-87.6061492,true,(773) 488-9529,,,,,,,,2024,,false,false,false,true,false,false
VFW POST 2056,vfw-post-2056-il,local,Post 2056,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Rock Island County,rock-island-county,il_17161,722 15Th Ave,East Moline,61244,41.515776,-90.4443984,true,(309) 755-8568,,,,,,,,2056,,false,false,false,false,false,false
VFW Post 2078,vfw-post-2078-il,local,Post 2078,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Woodford County,woodford-county,il_17203,123 Meadows Ave,East Peoria,61611,40.6660147,-89.5487633,true,(309) 699-2078,,,,,,,,2078,,true,false,false,false,false,false
VFW Post 2153,vfw-post-2153-il,local,Post 2153,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Rock Island County,rock-island-county,il_17161,1721 7Th St,Moline,61265,41.4957289,-90.5279203,true,(309) 764-3344,,,,,,,,2153,,true,false,false,false,false,false
VETERANS OF FOREIGN WARS DUPAGE MEMORIAL VFW POST 2164,vfw-post-2164-il,local,Post 2164,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,DuPage County,dupage-county,il_17043,0N731 Papworth St,Wheaton,60187,41.8319379,-88.0940777,true,(630) 668-8756,,,,,,,,2164,,true,true,false,true,true,false
VFW Post 2287,vfw-post-2287-il,local,Post 2287,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,DeKalb County,dekalb-county,il_17037,421 Oak St,Dekalb,60115,41.9314893,-88.7484981,true,(815) 758-1990,,,,,,,,2287,,false,false,false,false,false,false
VFW Post 2602,vfw-post-2602-il,local,Post 2602,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Peoria County,peoria-county,il_17143,1505 E Lake Ave,Peoria Heights,61614,40.7391526,-89.571065,true,(309) 682-9875,,,,,,,,2602,,true,false,false,false,false,false
VFW POST 2608,vfw-post-2608-il,local,Post 2608,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Livingston County,livingston-county,il_17105,506 S Old Route 66,Dwight,60420,41.0889004,-88.4393815,true,(815) 584-3931,,,,,,,,2608,,true,true,false,true,false,false
VFW POST 2698,vfw-post-2698-il,local,Post 2698,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Randolph County,randolph-county,il_17157,1911 N Market St,Sparta,62286,38.1506472,-89.7035854,true,(618) 443-5851,,,,,,,,2698,,true,true,false,true,true,false
VFW Post 2791,vfw-post-2791-il,local,Post 2791,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Will County,will-county,il_17197,17147 Oak Park Ave,Tinley Park,60477,41.579162,-87.784384,true,(708) 532-2333,,,,,,,,2791,,true,true,false,true,true,false
VFW POST NO 2859,vfw-post-2859-il,local,Post 2859,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Madison County,madison-county,il_17119,231 E Edwardsville Rd,Wood River,62095,38.8713608,-90.0929362,true,(618) 259-9790,,,,,,,,2859,,true,false,false,false,true,false
VFW Post 3480,vfw-post-3480-il,local,Post 3480,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,St. Clair County,st-clair-county,il_17163,502 S 22Nd St,East Saint Louis,62207,38.6023499,-90.1454666,true,(618) 874-9418,,,,,,,,3480,,false,true,false,false,true,false
VFW Post 3579,vfw-post-3579-il,local,Post 3579,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Cook County,cook-county,il_17031,10 Higgins Rd,Park Ridge,60068,41.9848495,-87.8237035,true,(847) 825-4588,,,,,,,,3579,,false,true,false,false,true,false
VFW POST 3847,vfw-post-3847-il,local,Post 3847,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Pope County,pope-county,il_17151,1222 W 10Th St,Metropolis,62960,37.1634075,-88.7406697,true,(618) 524-5650,,,,,,,,3847,,false,false,false,false,false,false
VFW POST 3851,vfw-post-3851-il,local,Post 3851,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,White County,white-county,il_17193,406 E Main St,Carmi,62821,38.0915667,-88.1574047,true,(618) 382-5480,,,,,,,,3851,,true,false,false,true,false,false
VFW POST 3999,vfw-post-3999-il,local,Post 3999,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Wayne County,wayne-county,il_17191,128 E 2Nd St,Flora,62839,38.6697324,-88.485845,true,(618) 662-3999,,,,,,,,3999,,true,true,false,true,true,false
VFW POST 4079,vfw-post-4079-il,local,Post 4079,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Lee County,lee-county,il_17103,610 6Th Ave,Mendota,61342,41.5466151,-89.1162288,true,(815) 539-6466,,,,,,,,4079,,true,true,false,true,false,false
VFW Post 4183,vfw-post-4183-il,local,Post 4183,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,St. Clair County,st-clair-county,il_17163,1516 Old State Route 158,Belleville,62221,38.4682278,-90.0682835,true,(618) 746-9801,,,,,,,,4183,,true,true,false,false,true,false
VFW POST 4535,vfw-post-4535-il,local,Post 4535,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Wayne County,wayne-county,il_17191,201 E Court St,Fairfield,62837,38.380469,-88.358703,true,(618) 842-9925,,,,,,,,4535,,true,false,false,true,true,false
CHATHAM VFW POST 4763,vfw-post-4763-il,local,Post 4763,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Sangamon County,sangamon-county,il_17167,501 W Mulberry St,Chatham,62629,39.67545,-89.7102347,true,(217) 483-4613,,,,,,,,4763,,true,false,false,true,false,false
VFW POST 4829,vfw-post-4829-il,local,Post 4829,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Shelby County,shelby-county,il_17173,513 S Cedar St,Shelbyville,62565,39.4027931,-88.8068938,true,(217) 774-4829,,,,,,,,4829,,false,false,false,false,false,false
VFW POST 5001,vfw-post-5001-il,local,Post 5001,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Fulton County,fulton-county,il_17057,1323 S Main St,Lewistown,61542,40.3794444,-90.1645915,true,(309) 547-8171,,,,,,,,5001,,true,false,false,true,false,false
VFW Post 5691,vfw-post-5691-il,local,Post 5691,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,St. Clair County,st-clair-county,il_17163,1234 Vandalia St,Collinsville,62234,38.6837474,-89.9765123,true,(618) 344-7195,,,,,,,,5691,,true,true,false,true,true,false
VFW Post 5915,vfw-post-5915-il,local,Post 5915,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Kane County,kane-county,il_17089,301 Lake Marian Rd,Carpentersville,60110,42.121224,-88.264457,true,(847) 428-4836,,,,,,,,5915,,false,false,false,false,false,false
VFW POST 6289,vfw-post-6289-il,local,Post 6289,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,McLean County,mclean-county,il_17113,122 S Lott Blvd,Gibson City,60936,40.4646162,-88.3721144,true,(217) 784-4210,,,,,,,,6289,,true,false,false,false,false,false
VFW Post 6408,vfw-post-6408-il,local,Post 6408,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Mason County,mason-county,il_17125,413 W Adams St,Havana,62644,40.2988916,-90.0659139,true,(309) 543-9120,,,,,,,,6408,,true,true,false,true,true,false
VFW Post 6504,vfw-post-6504-il,local,Post 6504,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,St. Clair County,st-clair-county,il_17163,Po Box 284,Waterloo,62298,38.4682278,-90.0682835,true,(618) 939-7999,,,,,,,,6504,,true,true,false,true,true,false
VFW POST 6865,vfw-post-6865-il,local,Post 6865,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Washington County,washington-county,il_17189,511 Vfw St,Coulterville,62237,38.1862,-89.5985,true,(618) 758-9009,,,,,,,,6865,,true,true,false,true,true,false
VFW POST 6871,vfw-post-6871-il,local,Post 6871,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Menard County,menard-county,il_17129,111 N 7Th St,Petersburg,62675,40.0113699,-89.8496926,true,(217) 632-3404,,,,,,,,6871,,false,false,false,false,false,false
MINONK VFW POST 7185,vfw-post-7185-il,local,Post 7185,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Woodford County,woodford-county,il_17203,541 Oak St,Minonk,61760,40.9023815,-89.0328615,true,(309) 432-2726,,,,,,,,7185,,false,false,false,false,false,false
VFW Post 7190,vfw-post-7190-il,local,Post 7190,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Jackson County,jackson-county,il_17077,108 S 10Th St,Murphysboro,62966,37.7635483,-89.3343815,true,(618) 684-2311,,,,,,,,7190,,false,true,false,false,true,false
VFW Post 7451,vfw-post-7451-il,local,Post 7451,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,St. Clair County,st-clair-county,il_17163,1414 7Th St,Madison,62060,38.6839481,-90.158987,true,(618) 452-1200,,,,,,,,7451,,false,false,false,false,false,false
VFW POST 7535 MOMENCE,vfw-post-7535-il,local,Post 7535,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Kankakee County,kankakee-county,il_17091,19 N Dixie Hwy,Momence,60954,41.1626103,-87.6630422,true,(815) 472-6743,,,,,,,,7535,,false,false,false,false,false,false
VFW Post 7658,vfw-post-7658-il,local,Post 7658,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Cook County,cook-county,il_17031,1719 W Wrightwood Ave,Chicago,60614,41.9284893,-87.6714874,true,(773) 528-2659,,,,,,,,7658,,false,false,false,false,false,false
VFW Post 7678,vfw-post-7678-il,local,Post 7678,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Madison County,madison-county,il_17119,121 Williams St,Bethalto,62010,38.914055,-90.039345,true,(618) 259-0559,,,,,,,,7678,,true,true,false,true,false,false
VFW Post 7975,vfw-post-7975-il,local,Post 7975,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Cook County,cook-county,il_17031,1344 N Greenview Ave,Chicago,60622,41.9064298,-87.6653943,true,(773) 252-5338,,,,,,,,7975,,false,false,false,false,false,false
WARRENVILLE VFW POST 8081,vfw-post-8081-il,local,Post 8081,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,DuPage County,dupage-county,il_17043,3S371 Manning Ave,Warrenville,60555,41.8319379,-88.0940777,true,(630) 393-2442,,,,,,,,8081,,true,true,false,true,true,false
VFW Post 8141,vfw-post-8141-il,local,Post 8141,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Cook County,cook-county,il_17031,664 Hirsch Ave,Calumet City,60409,41.6161322,-87.5387134,true,(708) 862-7913,,,,,,,,8141,,true,true,false,false,true,false
VFW Post 8157,vfw-post-8157-il,local,Post 8157,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Sangamon County,sangamon-county,il_17167,408 W Jefferson St,Auburn,62615,39.5919128,-89.7456792,true,(217) 438-6218,,,,,,,,8157,,false,false,false,false,false,false
VFW Post 8662,vfw-post-8662-il,local,Post 8662,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Peoria County,peoria-county,il_17143,1111 S Western Ave,Peoria,61605,40.6757002,-89.6232451,true,(309) 637-8662,,,,,,,,8662,,false,false,false,false,false,false
VFW Post 8739,vfw-post-8739-il,local,Post 8739,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Ogle County,ogle-county,il_17141,1310 W Washington St,Oregon,61061,42.0145921,-89.330542,true,(815) 732-6851,,,,,,,,8739,,true,true,false,true,true,false
VFW Post 8821,vfw-post-8821-il,local,Post 8821,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Cook County,cook-county,il_17031,4235 W 47Th St,Chicago,60632,41.8075907,-87.7299129,true,(773) 376-2086,,,,,,,,8821,,false,true,false,false,true,false
FRANKO WILLIAM JOHN J MCSHANE VFW POST 8827,vfw-post-8827-il,local,Post 8827,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Cook County,cook-county,il_17031,10724 S Ewing Ave,Chicago,60617,41.700128,-87.5356708,true,(773) 375-6193,,,,,,,,8827,,false,false,false,false,false,false
WALKER DANFORTH VFW POST 9016,vfw-post-9016-il,local,Post 9016,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Woodford County,woodford-county,il_17203,300 Zinser Pl,Washington,61571,40.7042,-89.410453,true,(309) 444-9016,,,,,,,,9016,,true,false,false,false,false,false
VFW Post 9802,vfw-post-9802-il,local,Post 9802,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Hancock County,hancock-county,il_17067,226 Main St,Warsaw,62379,40.3605985,-91.4390096,true,(217) 256-3533,,,,,,,,9802,,false,false,false,false,false,false
VFW Post 10302,vfw-post-10302-il,local,Post 10302,vfw,VFW,spanish-american-war,Spanish-American War,IL,illinois,Sangamon County,sangamon-county,il_17167,2349 Stockyard Rd,Springfield,62702,39.8327596,-89.6066139,true,(217) 789-4725,,,,,,,,10302,,true,true,false,false,true,false
VFW Post 2,vfw-post-2-in,local,Post 2,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Vanderburgh County,vanderburgh-county,in_18163,1800 Pollack Ave,Evansville,47714,37.9482232,-87.5333619,true,(812) 477-3141,,,,,,,,2,,true,true,false,false,true,false
VFW POST 88,vfw-post-88-in,local,Post 88,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Elkhart County,elkhart-county,in_18039,1519 W Bristol St,Elkhart,46514,41.7025304,-85.9960927,true,(219) 264-1000,,,,,,,,88,,true,false,false,false,false,false
VFW Post 261,vfw-post-261-in,local,Post 261,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Marion County,marion-county,in_18097,10550 Pendleton Pike,Indianapolis,46236,39.8331019,-86.0341295,true,(317) 823-0481,,,,,,,,261,,true,true,false,false,true,true
VFW Post 266,vfw-post-266-in,local,Post 266,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Madison County,madison-county,in_18095,3210 Columbus Ave,Anderson,46013,40.0837418,-85.666875,true,(765) 642-8561,,,,,,,,266,,false,false,false,false,false,false
VFW Post 286,vfw-post-286-in,local,Post 286,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Wabash County,wabash-county,in_18169,1 Veterans Ln,Wabash,46992,40.7986011,-85.8210848,true,(219) 563-2463,,,,,,,,286,,true,false,false,true,false,false
VFW Post 360,vfw-post-360-in,local,Post 360,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,St. Joseph County,st-joseph-county,in_18141,1307 E Jefferson Blvd,Mishawaka,46545,41.6729778,-86.1634921,true,(219) 255-0405,,,,,,,,360,,true,true,false,true,true,false
VFW POST 624,vfw-post-624-in,local,Post 624,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,St. Joseph County,st-joseph-county,in_18141,214 N Dixie Way,South Bend,46637,39.7719964,-86.1569912,true,(219) 277-1548,,,,,,,,624,,false,false,false,false,false,false
VFW POST 651,vfw-post-651-in,local,Post 651,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Delaware County,delaware-county,in_18035,1801 W Kilgore Ave,Muncie,47304,40.1846654,-85.4086379,true,(765) 289-8231,,,,,,,,651,,false,false,false,false,false,false
VFW POST 673,vfw-post-673-in,local,Post 673,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Dubois County,dubois-county,in_18037,1907 Newton St,Jasper,47546,38.4048865,-86.9372253,true,(812) 482-5010,,,,,,,,673,,true,false,false,true,false,false
VFW POST 748,vfw-post-748-in,local,Post 748,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Starke County,starke-county,in_18149,1511 S Heaton St,Knox,46534,41.2785718,-86.6206664,true,(219) 772-2298,,,,,,,,748,,true,true,false,true,true,false
VFW Post 908,vfw-post-908-in,local,Post 908,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Marion County,marion-county,in_18097,440 Ketcham St,Indianapolis,46222,39.7734602,-86.2090928,true,(317) 636-3811,,,,,,,,908,,true,true,false,false,true,false
VFW Post 910,vfw-post-910-in,local,Post 910,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Hendricks County,hendricks-county,in_18063,318 W Main St,Lebanon,46052,40.047659,-86.470837,true,(765) 482-3898,,,,,,,,910,,true,false,false,false,false,false
VFW POST 972 RECREATIONAL AREA,vfw-post-972-in,local,Post 972,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Vigo County,vigo-county,in_18167,8170 State Road 159,Terre Haute,47802,39.4724319,-87.4079204,true,(812) 894-2187,,,,,,,,972,,true,true,false,true,true,false
VFW Post 985,vfw-post-985-in,local,Post 985,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Elkhart County,elkhart-county,in_18039,1201 W Pike St,Goshen,46526,41.589096,-85.851352,true,(219) 533-6460,,,,,,,,985,,true,false,false,true,true,false
VFW POST 1108,vfw-post-1108-in,local,Post 1108,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Wayne County,wayne-county,in_18177,213 S 8Th St,Richmond,47374,39.825656,-84.8915183,true,(765) 939-2404,,,,,,,,1108,,true,false,false,true,false,false
VFW POST 1122,vfw-post-1122-in,local,Post 1122,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Miami County,miami-county,in_18103,Rr 1,Bunker Hill,46914,40.6605627,-86.1030828,true,(765) 689-7759,,,,,,,,1122,,false,false,false,false,false,false
VFW Post 1152,vfw-post-1152-in,local,Post 1152,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Miami County,miami-county,in_18103,920 N Washington St,Kokomo,46901,40.4941287,-86.1333405,true,(765) 452-1521,,,,,,,,1152,,true,true,false,true,true,false
VFW Post 1157,vfw-post-1157-in,local,Post 1157,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Knox County,knox-county,in_18083,2401 Hart St,Vincennes,47591,38.6593565,-87.5076142,true,(812) 886-4800,,,,,,,,1157,,false,true,false,true,true,false
VFW Post 1167,vfw-post-1167-in,local,Post 1167,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,St. Joseph County,st-joseph-county,in_18141,1047 Lincoln Way E,South Bend,46601,39.7719964,-86.1569912,true,(219) 287-8144,,,,,,,,1167,,false,false,false,false,false,false
VFW Post 1282,vfw-post-1282-in,local,Post 1282,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Henry County,henry-county,in_18065,205 N 16Th St,New Castle,47362,39.9322915,-85.3652488,true,(765) 521-3354,,,,,,,,1282,,true,true,false,true,true,false
VFW POST 1342,vfw-post-1342-in,local,Post 1342,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Kosciusko County,kosciusko-county,in_18085,307 W Chicago St,Syracuse,46567,41.4188009,-85.7506904,true,(219) 457-4531,,,,,,,,1342,,false,false,false,false,false,false
VFW POST NO 1405,vfw-post-1405-in,local,Post 1405,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Owen County,owen-county,in_18119,78 E Franklin St,Spencer,47460,39.2860321,-86.7616824,true,(812) 829-9005,,,,,,,,1405,,true,true,false,false,true,false
VFW Post 1431,vfw-post-1431-in,local,Post 1431,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Montgomery County,montgomery-county,in_18107,117 N Water St,Crawfordsville,47933,40.0420211,-86.8984175,true,(765) 362-9903,,,,,,,,1431,,true,false,false,false,false,false
VFW POST NO 1728,vfw-post-1728-in,local,Post 1728,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,White County,white-county,in_18181,1066 S Us Highway 35,Winamac,46996,40.7914282,-86.7680681,true,(219) 946-6733,,,,,,,,1728,,true,true,false,true,true,false
VFW Post 1752,vfw-post-1752-in,local,Post 1752,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Putnam County,putnam-county,in_18133,213 W Ohio St,Rockville,47872,39.7624558,-87.229419,true,(765) 569-9411,,,,,,,,1752,,true,false,false,true,false,false
VFW POST NO 2231,vfw-post-2231-in,local,Post 2231,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,White County,white-county,in_18181,503 N 3Rd St,Monticello,47960,40.7496787,-86.769284,true,(219) 583-6607,,,,,,,,2231,,false,false,false,true,false,false
VFW POST 2366,vfw-post-2366-in,local,Post 2366,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Pike County,pike-county,in_18125,314 S Geiger St,Huntingburg,47542,38.2883687,-86.9573094,true,(812) 683-2366,,,,,,,,2366,,true,false,false,true,true,false
VFW POST 2710,vfw-post-2710-in,local,Post 2710,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Lake County,lake-county,in_18089,3504 Main St,East Chicago,46312,41.649023,-87.4451625,true,(219) 397-9889,,,,,,,,2710,,false,false,false,false,false,false
VFW Post 2999,vfw-post-2999-in,local,Post 2999,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Marion County,marion-county,in_18097,3553 English Ave,Indianapolis,46201,39.7593415,-86.1061225,true,(317) 352-1280,,,,,,,,2999,,false,false,false,false,false,false
VFW Post 5626,vfw-post-5626-in,local,Post 5626,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Marion County,marion-county,in_18097,249 N 6Th Ave,Beech Grove,46107,39.7268365,-86.0882963,true,(317) 787-0373,,,,,,,,5626,,true,true,false,false,true,false
VFW Post 5782,vfw-post-5782-in,local,Post 5782,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Tipton County,tipton-county,in_18159,317 S 18Th St,Elwood,46036,40.2748615,-85.8378265,true,(765) 552-9154,,,,,,,,5782,,true,false,false,true,false,false
VFW Post 5864,vfw-post-5864-in,local,Post 5864,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Johnson County,johnson-county,in_18081,333 S Washington St,Greenwood,46143,39.6115015,-86.1023161,true,(317) 888-2488,,,,,,,,5864,,true,true,false,true,true,false
VFW Post 6448,vfw-post-6448-in,local,Post 6448,vfw,VFW,spanish-american-war,Spanish-American War,IN,indiana,Lake County,lake-county,in_18089,2125 Gettler St,Dyer,46311,41.4930983,-87.5226196,true,(219) 865-9730,,,,,,,,6448,,true,true,false,true,true,false
